PC_TIME,TIME,TIME_TICK,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV
1789334211.6745,186.93903,2424073342,0.48815,0.13000,1,0.46175,0.10270,1,0.47495,0.11635,1
1789334211.6812,186.94574,2424140471,0.45428,0.10877,1,0.44031,0.07929,1,0.44730,0.09403,1
1789334211.6882,186.95268,2424209971,0.45491,0.14611,1,0.41493,0.12333,1,0.43492,0.13472,1
1789334211.6946,186.95911,2424274147,0.45661,0.15931,1,0.41556,0.13159,1,0.43609,0.14545,1
1789334211.7015,186.96605,2424343512,0.42403,0.15956,1,0.39381,0.09752,1,0.40892,0.12854,1
1789334211.7080,186.97253,2424408355,0.42289,0.15262,1,0.40386,0.08803,1,0.41338,0.12032,1
1789334211.7147,186.97922,2424475274,0.42091,0.14043,1,0.40201,0.06546,1,0.41146,0.10294,1
1789334211.7217,186.98622,2424545293,0.41728,0.12550,1,0.40511,0.06084,1,0.41120,0.09317,1
1789334211.7283,186.99283,2424611384,0.41389,0.11314,1,0.40097,0.04563,1,0.40743,0.07939,1
1789334211.7350,186.99954,2424678430,0.41279,0.10640,1,0.40032,0.03760,1,0.40655,0.07200,1
1789334211.7415,187.00603,2424743307,0.42550,0.10907,1,0.39865,0.03656,1,0.41207,0.07282,1
1789334211.7482,187.01271,2424810155,0.42263,0.10916,1,0.39808,0.03899,1,0.41035,0.07407,1
1789334211.7551,187.01965,2424879564,0.42263,0.10916,1,0.39808,0.03899,1,0.41035,0.07407,1
1789334211.7616,187.02611,2424944135,0.42481,0.09929,1,0.39834,0.04087,1,0.41158,0.07008,1
1789334211.7685,187.03305,2425013543,0.42223,0.10517,1,0.39725,0.04032,1,0.40974,0.07274,1
1789334211.7750,187.03951,2425078059,0.42320,0.11143,1,0.39787,0.04779,1,0.41054,0.07961,1
1789334211.7817,187.04622,2425145222,0.42195,0.12620,1,0.40135,0.05736,1,0.41165,0.09178,1
1789334211.7886,187.05316,2425214744,0.42804,0.12138,1,0.40263,0.06387,1,0.41533,0.09263,1
1789334211.7953,187.05981,2425281238,0.42899,0.12766,1,0.40324,0.07133,1,0.41611,0.09950,1
1789334211.8020,187.06656,2425348670,0.42708,0.11078,1,0.40370,0.07752,1,0.41539,0.09415,1
1789334211.8085,187.07298,2425412962,0.42743,0.07658,1,0.40390,0.07259,1,0.41566,0.07459,1
1789334211.8154,187.07993,2425482349,0.42743,0.07658,1,0.40390,0.07259,1,0.41566,0.07459,1
1789334211.8219,187.08644,2425547450,0.42967,0.11436,1,0.40212,0.07487,1,0.41590,0.09462,1
1789334211.8285,187.09306,2425613790,0.42869,0.10773,1,0.38141,0.07702,1,0.40505,0.09238,1
1789334211.8355,187.10001,2425683106,0.42869,0.10773,1,0.38293,0.09207,1,0.40581,0.09990,1
1789334211.8420,187.10651,2425748080,0.40048,0.15108,1,0.38479,0.11853,1,0.39264,0.13481,1
1789334211.8489,187.11343,2425817475,0.41082,0.13257,1,0.38557,0.12527,1,0.39820,0.12892,1
1789334211.8553,187.11987,2425881802,0.41305,0.14557,1,0.38638,0.13321,1,0.39971,0.13939,1
1789334211.8625,187.12698,2425952987,0.41667,0.15736,1,0.38886,0.12375,1,0.40276,0.14055,1
1789334211.8688,187.13329,2426015903,0.41465,0.15272,1,0.38446,0.11936,1,0.39956,0.13604,1
1789334211.8757,187.14021,2426085270,0.41361,0.14664,1,0.38374,0.11230,1,0.39867,0.12947,1
1789334211.8822,187.14668,2426149936,0.41481,0.13884,1,0.38397,0.10327,1,0.39939,0.12106,1
1789334211.8891,187.15367,2426219746,0.41477,0.13801,1,0.38924,0.10193,1,0.40201,0.11997,1
1789334211.8956,187.16008,2426283870,0.41477,0.13801,1,0.38993,0.10906,1,0.40235,0.12353,1
1789334211.9025,187.16699,2426352951,0.41009,0.16463,1,0.39675,0.11557,1,0.40342,0.14010,1
1789334211.9090,187.17348,2426417791,0.40257,0.16697,1,0.37992,0.11510,1,0.39125,0.14104,1
1789334211.9157,187.18018,2426484856,0.40252,0.16668,1,0.37989,0.11475,1,0.39120,0.14071,1
1789334211.9226,187.18712,2426554214,0.39937,0.15838,1,0.36842,0.11011,1,0.38389,0.13425,1
1789334211.9295,187.19402,2426623295,0.40011,0.15704,1,0.36443,0.10089,1,0.38227,0.12897,1
1789334211.9361,187.20067,2426689739,0.40011,0.15704,1,0.36358,0.09370,1,0.38185,0.12537,1
1789334211.9424,187.20695,2426752666,0.45765,0.14248,1,0.43324,0.10878,1,0.44544,0.12563,1
1789334211.9494,187.21391,2426822141,0.48589,0.11970,1,0.49162,0.11110,1,0.48876,0.11540,1
1789334211.9558,187.22037,2426886788,0.48530,0.11340,1,0.49157,0.10411,1,0.48844,0.10875,1
1789334211.9625,187.22707,2426953748,0.54262,0.12923,1,0.53425,0.08484,1,0.53843,0.10704,1
1789334211.9695,187.23407,2427023796,0.56073,0.12478,1,0.54057,0.09407,1,0.55065,0.10942,1
1789334211.9762,187.24068,2427089785,0.56059,0.11834,1,0.54059,0.09373,1,0.55059,0.10603,1
1789334211.9830,187.24754,2427158529,0.55464,0.11751,1,0.51826,0.09256,1,0.53645,0.10503,1
1789334211.9893,187.25386,2427221629,0.55833,0.12635,1,0.52738,0.10573,1,0.54286,0.11604,1
1789334211.9962,187.26077,2427290814,0.55831,0.12524,1,0.52741,0.10447,1,0.54286,0.11486,1
1789334212.0027,187.26726,2427355584,0.55732,0.11766,1,0.53089,0.08916,1,0.54410,0.10341,1
1789334212.0096,187.27417,2427424771,0.56044,0.11140,1,0.53000,0.08426,1,0.54522,0.09783,1
1789334212.0165,187.28101,2427493173,0.56028,0.10408,1,0.53041,0.06905,1,0.54535,0.08657,1
1789334212.0228,187.28735,2427556540,0.55784,0.10296,1,0.52566,0.05778,1,0.54175,0.08037,1
1789334212.0295,187.29404,2427623402,0.55561,0.09375,1,0.53145,0.05427,1,0.54353,0.07401,1
1789334212.0362,187.30074,2427690430,0.55545,0.08756,1,0.53164,0.04729,1,0.54355,0.06742,1
1789334212.0431,187.30766,2427759677,0.55868,0.08864,1,0.53502,0.05090,1,0.54685,0.06977,1
1789334212.0496,187.31415,2427824488,0.55363,0.09560,1,0.52623,0.05901,1,0.53993,0.07730,1
1789334212.0563,187.32083,2427891366,0.55363,0.09560,1,0.52623,0.05901,1,0.53993,0.07730,1
1789334212.0630,187.32753,2427958311,0.55199,0.04627,1,0.52650,0.05949,1,0.53925,0.05288,1
1789334212.0697,187.33423,2428025389,0.55528,0.05044,1,0.53126,0.05820,1,0.54327,0.05432,1
1789334212.0767,187.34119,2428095019,0.55547,0.05798,1,0.53103,0.06635,1,0.54325,0.06217,1
1789334212.0833,187.34784,2428161495,0.55142,0.06889,1,0.52810,0.08281,1,0.53976,0.07585,1
1789334212.0900,187.35454,2428228505,0.55143,0.09372,1,0.52951,0.09831,1,0.54047,0.09601,1
1789334212.0965,187.36102,2428293353,0.55143,0.09372,1,0.52951,0.09831,1,0.54047,0.09601,1
1789334212.1032,187.36771,2428360212,0.55403,0.09224,1,0.53013,0.07205,1,0.54208,0.08214,1
1789334212.1101,187.37465,2428429558,0.55458,0.08291,1,0.53484,0.06919,1,0.54471,0.07605,1
1789334212.1166,187.38112,2428494271,0.55439,0.07556,1,0.53509,0.06107,1,0.54474,0.06831,1
1789334212.1236,187.38809,2428564065,0.55891,0.08653,1,0.53517,0.05353,1,0.54704,0.07003,1
1789334212.1300,187.39452,2428628272,0.55519,0.08168,1,0.53256,0.05823,1,0.54388,0.06996,1
1789334212.1369,187.40146,2428697741,0.55519,0.08168,1,0.53256,0.05823,1,0.54388,0.06996,1
1789334212.1434,187.40791,2428762232,0.56031,0.08374,1,0.55284,0.05090,1,0.55658,0.06732,1
1789334212.1503,187.41487,2428831774,0.59523,0.05889,1,0.57229,0.05031,1,0.58376,0.05460,1
1789334212.1568,187.42130,2428896015,0.59515,0.06639,1,0.57135,0.06542,1,0.58325,0.06591,1
1789334212.1635,187.42799,2428963046,0.62747,0.08772,1,0.59697,0.08449,1,0.61222,0.08611,1
1789334212.1704,187.43497,2429032707,0.63753,0.09839,1,0.60232,0.10071,1,0.61992,0.09955,1
1789334212.1769,187.44145,2429097535,0.63683,0.11223,1,0.60092,0.11571,1,0.61887,0.11397,1
1789334212.1836,187.44810,2429164133,0.62413,0.11849,1,0.59363,0.11266,1,0.60888,0.11558,1
1789334212.1903,187.45479,2429231016,0.63234,0.11624,1,0.59796,0.11995,1,0.61515,0.11809,1
1789334212.1970,187.46150,2429298110,0.63203,0.12291,1,0.59793,0.12028,1,0.61498,0.12160,1
1789334212.2040,187.46852,2429368220,0.62644,0.11967,1,0.60760,0.12425,1,0.61702,0.12196,1
1789334212.2104,187.47488,2429431908,0.61183,0.12214,1,0.61222,0.13279,1,0.61202,0.12746,1
1789334212.2175,187.48203,2429503309,0.61200,0.11578,1,0.61293,0.12602,1,0.61247,0.12090,1
1789334212.2238,187.48828,2429565944,0.61657,0.10637,1,0.60142,0.11476,1,0.60899,0.11056,1
1789334212.2307,187.49521,2429635097,0.61431,0.09970,1,0.60803,0.11823,1,0.61117,0.10896,1
1789334212.2372,187.50171,2429700107,0.61450,0.09304,1,0.60807,0.11790,1,0.61128,0.10547,1
1789334212.2441,187.50861,2429769120,0.62168,0.10617,1,0.59715,0.12476,1,0.60942,0.11546,1
1789334212.2508,187.51535,2429836577,0.62463,0.11064,1,0.59686,0.12809,1,0.61075,0.11937,1
1789334212.2573,187.52180,2429901089,0.62438,0.11695,1,0.59625,0.13484,1,0.61032,0.12590,1
1789334212.2643,187.52878,2429970786,0.63096,0.13107,1,0.59947,0.14670,1,0.61521,0.13888,1
1789334212.2707,187.53519,2430034947,0.62913,0.13507,1,0.60435,0.14235,1,0.61674,0.13871,1
1789334212.2776,187.54210,2430104002,0.62884,0.14161,1,0.60432,0.14268,1,0.61658,0.14214,1
1789334212.2840,187.54857,2430168709,0.62781,0.14682,1,0.61060,0.13780,1,0.61921,0.14231,1
1789334212.2908,187.55528,2430235839,0.61494,0.14266,1,0.61266,0.13908,1,0.61380,0.14087,1
1789334212.2977,187.56219,2430304977,0.61514,0.13644,1,0.61338,0.13236,1,0.61426,0.13440,1
1789334212.3042,187.56868,2430369831,0.61438,0.10169,1,0.60081,0.12198,1,0.60760,0.11184,1
1789334212.3111,187.57561,2430439157,0.61446,0.08986,1,0.59984,0.10313,1,0.60715,0.09650,1
1789334212.3176,187.58208,2430503777,0.61465,0.08314,1,0.59988,0.10280,1,0.60726,0.09297,1
1789334212.3242,187.58876,2430570669,0.60428,0.12341,1,0.60551,0.11375,1,0.60489,0.11858,1
1789334212.3309,187.59544,2430637515,0.57257,0.15745,1,0.56517,0.13404,1,0.56887,0.14574,1
1789334212.3376,187.60216,2430704617,0.57264,0.16341,1,0.56475,0.14077,1,0.56870,0.15209,1
1789334212.3446,187.60913,2430774462,0.46485,0.19622,1,0.42901,0.20380,1,0.44693,0.20001,1
1789334212.3510,187.61555,2430838609,0.41573,0.18615,1,0.40523,0.20946,1,0.41048,0.19781,1
1789334212.3580,187.62250,2430907984,0.41452,0.17936,1,0.40453,0.20197,1,0.40952,0.19066,1
1789334212.3644,187.62897,2430972817,0.34525,0.19699,1,0.30956,0.18944,1,0.32741,0.19322,1
1789334212.3711,187.63565,2431039573,0.34394,0.20394,1,0.31441,0.19118,1,0.32917,0.19756,1
1789334212.3781,187.64258,2431108897,0.34394,0.20394,1,0.31441,0.19118,1,0.32917,0.19756,1
1789334212.3845,187.64906,2431173717,0.34707,0.20842,1,0.32498,0.18039,1,0.33602,0.19441,1
1789334212.3915,187.65599,2431242968,0.33243,0.22171,1,0.31989,0.19522,1,0.32616,0.20847,1
1789334212.3979,187.66245,2431307466,0.33585,0.23381,1,0.32127,0.20315,1,0.32856,0.21848,1
1789334212.4048,187.66937,2431376740,0.34465,0.22757,1,0.33141,0.20507,1,0.33803,0.21632,1
1789334212.4113,187.67584,2431441522,0.33807,0.23068,1,0.31720,0.20273,1,0.32763,0.21670,1
1789334212.4180,187.68256,2431508583,0.33814,0.23094,1,0.31841,0.20951,1,0.32828,0.22022,1
1789334212.4247,187.68924,2431575489,0.35221,0.22630,1,0.30765,0.21782,1,0.32993,0.22206,1
1789334212.4314,187.69594,2431642531,0.34581,0.24406,1,0.30940,0.23504,1,0.32761,0.23955,1
1789334212.4384,187.70293,2431712387,0.34574,0.24379,1,0.30934,0.23472,1,0.32754,0.23926,1
1789334212.4448,187.70934,2431776371,0.33429,0.24567,1,0.31813,0.23564,1,0.32621,0.24066,1
1789334212.4517,187.71626,2431845669,0.34773,0.24057,1,0.31410,0.23011,1,0.33091,0.23534,1
1789334212.4582,187.72275,2431910505,0.34619,0.23492,1,0.31286,0.22349,1,0.32952,0.22921,1
1789334212.4651,187.72964,2431979517,0.34562,0.23836,1,0.30811,0.20610,1,0.32686,0.22223,1
1789334212.4716,187.73613,2432044357,0.34062,0.22887,1,0.31576,0.21009,1,0.32819,0.21948,1
1789334212.4783,187.74281,2432111258,0.34062,0.22887,1,0.31576,0.21009,1,0.32819,0.21948,1
1789334212.4853,187.74982,2432181256,0.35498,0.22623,1,0.31300,0.21095,1,0.33399,0.21859,1
1789334212.4917,187.75623,2432245398,0.35210,0.23181,1,0.30733,0.21318,1,0.32971,0.22250,1
1789334212.4986,187.76317,2432314719,0.35210,0.23181,1,0.30733,0.21318,1,0.32971,0.22250,1
1789334212.5053,187.76984,2432381411,0.34638,0.23692,1,0.30713,0.20436,1,0.32675,0.22064,1
1789334212.5120,187.77654,2432448452,0.34764,0.23572,1,0.30774,0.21500,1,0.32769,0.22536,1
1789334212.5185,187.78304,2432513371,0.34592,0.22937,1,0.30631,0.20748,1,0.32611,0.21843,1
1789334212.5252,187.78972,2432580322,0.32377,0.22355,1,0.29204,0.18731,1,0.30791,0.20543,1
1789334212.5322,187.79669,2432649971,0.32459,0.21162,1,0.27423,0.18582,1,0.29941,0.19872,1
1789334212.5386,187.80310,2432714089,0.32622,0.21729,1,0.27569,0.19257,1,0.30096,0.20493,1
1789334212.5456,187.81010,2432784082,0.31000,0.23439,1,0.30246,0.19615,1,0.30623,0.21527,1
1789334212.5520,187.81651,2432848136,0.31859,0.24637,1,0.30703,0.21524,1,0.31281,0.23080,1
1789334212.5590,187.82355,2432918618,0.32055,0.25271,1,0.30849,0.22285,1,0.31452,0.23778,1
1789334212.5654,187.82990,2432982037,0.31222,0.24753,1,0.30378,0.21297,1,0.30800,0.23025,1
1789334212.5724,187.83688,2433051848,0.31047,0.23518,1,0.29907,0.20708,1,0.30477,0.22113,1
1789334212.5790,187.84354,2433118376,0.30870,0.22951,1,0.29773,0.20029,1,0.30321,0.21490,1
1789334212.5857,187.85020,2433185183,0.30717,0.23138,1,0.30211,0.19289,1,0.30464,0.21213,1
1789334212.5922,187.85669,2433249985,0.30570,0.22487,1,0.29569,0.19169,1,0.30070,0.20828,1
1789334212.5989,187.86340,2433317134,0.30749,0.23057,1,0.29704,0.19855,1,0.30227,0.21456,1
1789334212.6059,187.87038,2433386845,0.31972,0.24348,1,0.30222,0.20550,1,0.31097,0.22449,1
1789334212.6123,187.87679,2433451004,0.32250,0.24825,1,0.30208,0.21124,1,0.31229,0.22974,1
1789334212.6192,187.88373,2433520414,0.32578,0.25899,1,0.30334,0.21770,1,0.31456,0.23835,1
1789334212.6259,187.89044,2433587539,0.31846,0.25495,1,0.29980,0.24665,1,0.30913,0.25080,1
1789334212.6326,187.89716,2433654572,0.32383,0.25546,1,0.30526,0.24283,1,0.31455,0.24914,1
1789334212.6395,187.90401,2433723109,0.32373,0.25513,1,0.30518,0.24244,1,0.31446,0.24878,1
1789334212.6460,187.91052,2433788348,0.31796,0.24832,1,0.30559,0.23449,1,0.31178,0.24140,1
1789334212.6525,187.91698,2433852837,0.32236,0.24959,1,0.29956,0.24713,1,0.31096,0.24836,1
1789334212.6594,187.92397,2433922705,0.32236,0.24959,1,0.30087,0.25345,1,0.31162,0.25152,1
1789334212.6658,187.93037,2433986829,0.34006,0.25780,1,0.30245,0.26188,1,0.32125,0.25984,1
1789334212.6728,187.93732,2434056225,0.35866,0.26219,1,0.33631,0.26842,1,0.34748,0.26531,1
1789334212.6792,187.94377,2434120739,0.35875,0.26252,1,0.33528,0.26253,1,0.34701,0.26253,1
1789334212.6860,187.95049,2434187869,0.39203,0.24606,1,0.35878,0.22013,1,0.37541,0.23309,1
