PC_TIME,TIME,TIME_TICK,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV
1789334227.8192,203.08858,2585568882,0.46638,0.43372,1,0.46796,0.40308,1,0.46717,0.41840,1
1789334227.8259,203.09531,2585636193,0.46555,0.42914,1,0.46774,0.39751,1,0.46665,0.41333,1
1789334227.8328,203.10220,2585705039,0.46886,0.35084,1,0.45591,0.31438,1,0.46238,0.33261,1
1789334227.8396,203.10898,2585772818,0.45923,0.36806,1,0.45625,0.31262,1,0.45774,0.34034,1
1789334227.8462,203.11565,2585839619,0.46010,0.37310,1,0.45655,0.31885,1,0.45832,0.34597,1
1789334227.8527,203.12207,2585903717,0.46279,0.36773,1,0.44345,0.35432,1,0.45312,0.36102,1
1789334227.8594,203.12877,2585970751,0.46469,0.38240,1,0.45093,0.36865,1,0.45781,0.37553,1
1789334227.8661,203.13548,2586037845,0.46554,0.38745,1,0.45128,0.37459,1,0.45841,0.38102,1
1789334227.8728,203.14217,2586104750,0.46271,0.35494,1,0.45449,0.37231,1,0.45860,0.36363,1
1789334227.8798,203.14923,2586175459,0.46613,0.36490,1,0.46254,0.35385,1,0.46434,0.35937,1
1789334227.8864,203.15578,2586240816,0.46528,0.35967,1,0.46228,0.34775,1,0.46378,0.35371,1
1789334227.8931,203.16252,2586308279,0.46906,0.35580,1,0.47354,0.33842,1,0.47130,0.34711,1
1789334227.8998,203.16919,2586374971,0.46823,0.36959,1,0.45526,0.35152,1,0.46174,0.36055,1
1789334227.9065,203.17595,2586442611,0.46823,0.36959,1,0.45526,0.35152,1,0.46174,0.36055,1
1789334227.9130,203.18236,2586506695,0.48418,0.36320,1,0.46132,0.33177,1,0.47275,0.34749,1
1789334227.9199,203.18932,2586576216,0.46355,0.38457,1,0.47641,0.34826,1,0.46998,0.36642,1
1789334227.9264,203.19576,2586640683,0.46441,0.38960,1,0.47657,0.35434,1,0.47049,0.37197,1
1789334227.9332,203.20265,2586709666,0.47154,0.36281,1,0.45400,0.34550,1,0.46277,0.35416,1
1789334227.9401,203.20949,2586777937,0.47074,0.37793,1,0.45413,0.35913,1,0.46244,0.36853,1
1789334227.9467,203.21606,2586843784,0.47074,0.37793,1,0.45413,0.35913,1,0.46244,0.36853,1
1789334227.9533,203.22275,2586910585,0.48359,0.37376,1,0.47513,0.36849,1,0.47936,0.37113,1
1789334227.9598,203.22925,2586975500,0.47758,0.37541,1,0.44910,0.36144,1,0.46334,0.36843,1
1789334227.9667,203.23615,2587044562,0.47758,0.37541,1,0.44910,0.36144,1,0.46334,0.36843,1
1789334227.9735,203.24289,2587112022,0.47359,0.37239,1,0.46264,0.34685,1,0.46811,0.35962,1
1789334227.9799,203.24931,2587176243,0.48013,0.37754,1,0.47085,0.35042,1,0.47549,0.36398,1
1789334227.9868,203.25624,2587245499,0.48013,0.37754,1,0.47066,0.34459,1,0.47540,0.36106,1
1789334227.9933,203.26273,2587310315,0.46076,0.38649,1,0.45661,0.33692,1,0.45868,0.36171,1
1789334228.0002,203.26964,2587379501,0.46935,0.38167,1,0.45825,0.32996,1,0.46380,0.35582,1
1789334228.0069,203.27635,2587446569,0.46777,0.37187,1,0.45796,0.32381,1,0.46286,0.34784,1
1789334228.0136,203.28304,2587513428,0.46610,0.34875,1,0.46623,0.34668,1,0.46616,0.34772,1
1789334228.0204,203.28983,2587581350,0.46811,0.34538,1,0.46636,0.34751,1,0.46723,0.34645,1
1789334228.0268,203.29623,2587645372,0.46807,0.34514,1,0.46635,0.34723,1,0.46721,0.34618,1
1789334228.0339,203.30331,2587716243,0.46932,0.36279,1,0.46618,0.35102,1,0.46775,0.35690,1
1789334228.0402,203.30962,2587779172,0.46687,0.36878,1,0.46811,0.34577,1,0.46749,0.35728,1
1789334228.0472,203.31657,2587848891,0.46687,0.36878,1,0.46811,0.34577,1,0.46749,0.35728,1
1789334228.0536,203.32301,2587913246,0.46383,0.38665,1,0.47325,0.32103,1,0.46854,0.35384,1
1789334228.0606,203.32999,2587982945,0.46876,0.34696,1,0.47740,0.32624,1,0.47308,0.33660,1
1789334228.0672,203.33664,2588049472,0.46956,0.35216,1,0.47755,0.33235,1,0.47356,0.34226,1
1789334228.0739,203.34335,2588116587,0.47171,0.36480,1,0.47298,0.33049,1,0.47235,0.34764,1
1789334228.0804,203.34981,2588181193,0.46456,0.36934,1,0.46860,0.36974,1,0.46658,0.36954,1
1789334228.0873,203.35672,2588250271,0.46541,0.37449,1,0.46882,0.37566,1,0.46712,0.37507,1
1789334228.0938,203.36317,2588314892,0.49394,0.36304,1,0.46632,0.36490,1,0.48013,0.36397,1
1789334228.1005,203.36989,2588382011,0.48377,0.36264,1,0.46068,0.35150,1,0.47223,0.35707,1
1789334228.1075,203.37686,2588451674,0.48377,0.36264,1,0.46068,0.35150,1,0.47223,0.35707,1
1789334228.1141,203.38351,2588518200,0.47970,0.36850,1,0.45631,0.34994,1,0.46800,0.35922,1
1789334228.1210,203.39037,2588586741,0.47680,0.37312,1,0.45092,0.35899,1,0.46386,0.36606,1
1789334228.1275,203.39691,2588652186,0.47680,0.37312,1,0.45092,0.35899,1,0.46386,0.36606,1
1789334228.1343,203.40366,2588719625,0.47936,0.37844,1,0.45519,0.37227,1,0.46727,0.37535,1
1789334228.1409,203.41032,2588786382,0.47691,0.36977,1,0.45635,0.35254,1,0.46663,0.36116,1
1789334228.1477,203.41713,2588854436,0.47691,0.36977,1,0.45635,0.35254,1,0.46663,0.36116,1
1789334228.1543,203.42371,2588920083,0.45942,0.26870,1,0.44310,0.22844,1,0.45126,0.24857,1
1789334228.1610,203.43039,2588987042,0.45706,0.21811,1,0.42933,0.19013,1,0.44319,0.20412,1
1789334228.1677,203.43709,2589054021,0.45706,0.21811,1,0.42933,0.19013,1,0.44319,0.20412,1
1789334228.1744,203.44380,2589121024,0.46422,0.18182,1,0.44871,0.15175,1,0.45647,0.16678,1
1789334228.1811,203.45050,2589188062,0.45723,0.17591,1,0.43242,0.15185,1,0.44482,0.16388,1
1789334228.1878,203.45721,2589255178,0.45723,0.17591,1,0.43242,0.15185,1,0.44482,0.16388,1
1789334228.1943,203.46367,2589319760,0.44838,0.15130,1,0.44509,0.16554,1,0.44674,0.15842,1
1789334228.2010,203.47038,2589386891,0.45880,0.16720,1,0.45549,0.13691,1,0.45715,0.15206,1
1789334228.2083,203.47774,2589460454,0.45793,0.16042,1,0.45518,0.12906,1,0.45656,0.14474,1
1789334228.2144,203.48378,2589520915,0.46008,0.15579,1,0.43026,0.13970,1,0.44517,0.14774,1
1789334228.2216,203.49098,2589592956,0.46744,0.15999,1,0.43040,0.13477,1,0.44892,0.14738,1
1789334228.2280,203.49742,2589657347,0.46814,0.16594,1,0.43124,0.14812,1,0.44969,0.15703,1
1789334228.2345,203.50386,2589721653,0.47308,0.17332,1,0.44479,0.17693,1,0.45894,0.17512,1
1789334228.2414,203.51079,2589791014,0.47854,0.19347,1,0.45089,0.19291,1,0.46471,0.19319,1
1789334228.2479,203.51730,2589856159,0.47994,0.20599,1,0.45125,0.20056,1,0.46559,0.20327,1
1789334228.2548,203.52423,2589925405,0.48130,0.19542,1,0.45824,0.18833,1,0.46977,0.19188,1
1789334228.2613,203.53067,2589989777,0.44892,0.19638,1,0.46372,0.16989,1,0.45632,0.18314,1
1789334228.2679,203.53735,2590056672,0.44725,0.18477,1,0.46328,0.15657,1,0.45527,0.17067,1
1789334228.2749,203.54433,2590126372,0.45452,0.17547,1,0.43287,0.13628,1,0.44370,0.15588,1
1789334228.2816,203.55096,2590192747,0.45533,0.17226,1,0.43637,0.14582,1,0.44585,0.15904,1
1789334228.2884,203.55779,2590260995,0.45444,0.16551,1,0.43631,0.14463,1,0.44537,0.15507,1
1789334228.2947,203.56413,2590324451,0.45961,0.16648,1,0.44298,0.14824,1,0.45130,0.15736,1
1789334228.3017,203.57109,2590393946,0.46492,0.16195,1,0.44866,0.14733,1,0.45679,0.15464,1
1789334228.3086,203.57799,2590462977,0.46562,0.16768,1,0.44866,0.14733,1,0.45714,0.15751,1
1789334228.3151,203.58452,2590528308,0.46901,0.16077,1,0.43909,0.16005,1,0.45405,0.16041,1
1789334228.3215,203.59094,2590592558,0.50607,0.21882,1,0.50176,0.20581,1,0.50392,0.21231,1
1789334228.3282,203.59763,2590659279,0.50664,0.22553,1,0.50174,0.21336,1,0.50419,0.21944,1
1789334228.3352,203.60457,2590728694,0.62817,0.46361,1,0.64464,0.46783,1,0.63641,0.46572,1
1789334228.3416,203.61102,2590793354,0.70088,0.52209,1,0.67594,0.52412,1,0.68841,0.52310,1
1789334228.3486,203.61800,2590863110,0.70088,0.52209,1,0.67594,0.52412,1,0.68841,0.52310,1
1789334228.3550,203.62442,2590927268,0.79440,0.66576,1,0.80291,0.67473,1,0.79866,0.67025,1
1789334228.3619,203.63135,2590996554,0.82852,0.70581,1,0.84515,0.71388,1,0.83684,0.70984,1
1789334228.3684,203.63780,2591061170,0.83021,0.70347,1,0.84754,0.71111,1,0.83888,0.70729,1
1789334228.3751,203.64452,2591128232,0.83537,0.73582,1,0.86851,0.74768,1,0.85194,0.74175,1
1789334228.3821,203.65154,2591198449,0.81786,0.72821,1,0.84285,0.74316,1,0.83036,0.73569,1
1789334228.3885,203.65791,2591262283,0.81967,0.72579,1,0.84326,0.74272,1,0.83146,0.73426,1
1789334228.3955,203.66489,2591331960,0.84821,0.75985,1,0.85651,0.73750,1,0.85236,0.74868,1
1789334228.4021,203.67154,2591398460,0.85006,0.76786,1,0.85056,0.73885,1,0.85031,0.75336,1
1789334228.4086,203.67802,2591463253,0.84650,0.77147,1,0.84815,0.74142,1,0.84732,0.75645,1
1789334228.4156,203.68504,2591533552,0.83419,0.76300,1,0.86075,0.75185,1,0.84747,0.75743,1
1789334228.4220,203.69141,2591597196,0.81943,0.74887,1,0.82521,0.71693,1,0.82232,0.73290,1
1789334228.4289,203.69835,2591666609,0.81914,0.74922,1,0.82264,0.72007,1,0.82089,0.73465,1
1789334228.4354,203.70479,2591731012,0.82846,0.75209,1,0.84318,0.73639,1,0.83582,0.74424,1
1789334228.4425,203.71187,2591801752,0.83312,0.74753,1,0.84946,0.74655,1,0.84129,0.74704,1
1789334228.4488,203.71822,2591865177,0.83320,0.74743,1,0.84747,0.74864,1,0.84033,0.74804,1
1789334228.4557,203.72513,2591934297,0.83881,0.74723,1,0.81931,0.75172,1,0.82906,0.74947,1
1789334228.4622,203.73161,2591999196,0.83769,0.74529,1,0.82152,0.75065,1,0.82960,0.74797,1
1789334228.4689,203.73831,2592066228,0.83431,0.74920,1,0.81919,0.75327,1,0.82675,0.75124,1
1789334228.4756,203.74500,2592132974,0.83696,0.76124,1,0.82306,0.74926,1,0.83001,0.75525,1
1789334228.4823,203.75171,2592200114,0.83698,0.77280,1,0.83160,0.75444,1,0.83429,0.76362,1
1789334228.4893,203.75874,2592270564,0.83671,0.77309,1,0.83355,0.75233,1,0.83513,0.76271,1
1789334228.4961,203.76552,2592338269,0.83992,0.75396,1,0.83071,0.73933,1,0.83532,0.74664,1
1789334228.5027,203.77206,2592403688,0.84184,0.75127,1,0.82995,0.73938,1,0.83590,0.74533,1
1789334228.5091,203.77850,2592468132,0.84361,0.74929,1,0.83220,0.73684,1,0.83790,0.74306,1
1789334228.5158,203.78520,2592535144,0.82954,0.74493,1,0.83773,0.74028,1,0.83363,0.74261,1
1789334228.5225,203.79189,2592601913,0.81086,0.74284,1,0.84169,0.73887,1,0.82627,0.74086,1
1789334228.5292,203.79858,2592668858,0.81247,0.74073,1,0.84411,0.73622,1,0.82829,0.73848,1
1789334228.5361,203.80550,2592738107,0.82045,0.74218,1,0.84784,0.73880,1,0.83415,0.74049,1
1789334228.5426,203.81198,2592802833,0.82745,0.74126,1,0.85214,0.73342,1,0.83980,0.73734,1
1789334228.5493,203.81866,2592869702,0.82914,0.73918,1,0.85226,0.73329,1,0.84070,0.73624,1
1789334228.5562,203.82561,2592939229,0.82881,0.74221,1,0.85008,0.73791,1,0.83945,0.74006,1
1789334228.5627,203.83208,2593003777,0.83019,0.73797,1,0.84837,0.75616,1,0.83928,0.74707,1
1789334228.5696,203.83899,2593073011,0.82855,0.73998,1,0.84603,0.75856,1,0.83729,0.74927,1
1789334228.5764,203.84583,2593141371,0.82191,0.74570,1,0.84907,0.74808,1,0.83549,0.74689,1
1789334228.5828,203.85217,2593204875,0.82210,0.75598,1,0.85265,0.76204,1,0.83737,0.75901,1
1789334228.5895,203.85886,2593271709,0.82400,0.75373,1,0.85333,0.76137,1,0.83867,0.75755,1
1789334228.5968,203.86624,2593345466,0.83750,0.74977,1,0.84070,0.73577,1,0.83910,0.74277,1
1789334228.6028,203.87225,2593405564,0.84123,0.75579,1,0.83229,0.73848,1,0.83676,0.74714,1
1789334228.6096,203.87897,2593472744,0.83969,0.75749,1,0.83229,0.73848,1,0.83599,0.74798,1
1789334228.6165,203.88588,2593541857,0.83599,0.77001,1,0.83750,0.74483,1,0.83674,0.75742,1
1789334228.6229,203.89235,2593606597,0.82110,0.76559,1,0.84265,0.75089,1,0.83187,0.75824,1
1789334228.6296,203.89905,2593673542,0.82063,0.76612,1,0.84430,0.74915,1,0.83247,0.75763,1
1789334228.6366,203.90602,2593743319,0.82241,0.75285,1,0.84931,0.74642,1,0.83586,0.74964,1
1789334228.6431,203.91246,2593807614,0.82567,0.76435,1,0.86138,0.73934,1,0.84352,0.75185,1
1789334228.6498,203.91916,2593874611,0.82919,0.76037,1,0.86206,0.73864,1,0.84563,0.74950,1
1789334228.6567,203.92609,2593943931,0.83960,0.75693,1,0.82915,0.73145,1,0.83437,0.74419,1
1789334228.6631,203.93254,2594008548,0.85139,0.74694,1,0.83747,0.73480,1,0.84443,0.74087,1
1789334228.6701,203.93948,2594077935,0.84621,0.75262,1,0.83511,0.73745,1,0.84066,0.74504,1
1789334228.6768,203.94617,2594144726,0.80667,0.76707,1,0.84515,0.74778,1,0.82591,0.75743,1
1789334228.6835,203.95287,2594211771,0.81591,0.77087,1,0.85119,0.75308,1,0.83355,0.76197,1
1789334228.6899,203.95932,2594276343,0.81705,0.76957,1,0.84839,0.75594,1,0.83272,0.76275,1
1789334228.6967,203.96606,2594343651,0.82673,0.75620,1,0.82315,0.76034,1,0.82494,0.75827,1
1789334228.7036,203.97301,2594413184,0.83161,0.76372,1,0.82339,0.75745,1,0.82750,0.76058,1
1789334228.7100,203.97943,2594477371,0.83018,0.76530,1,0.82573,0.75487,1,0.82796,0.76008,1
1789334228.7170,203.98639,2594546985,0.84229,0.75617,1,0.83884,0.75478,1,0.84057,0.75548,1
1789334228.7234,203.99284,2594611577,0.81063,0.76149,1,0.84992,0.75028,1,0.83027,0.75589,1
1789334228.7302,203.99956,2594678606,0.81353,0.75796,1,0.85201,0.74812,1,0.83277,0.75304,1
1789334228.7371,204.00652,2594748288,0.82391,0.75774,1,0.85846,0.74872,1,0.84118,0.75323,1
1789334228.7435,204.01292,2594812367,0.82678,0.75858,1,0.85878,0.75763,1,0.84278,0.75811,1
1789334228.7504,204.01985,2594881535,0.82707,0.75825,1,0.85921,0.75721,1,0.84314,0.75773,1
1789334228.7569,204.02632,2594946349,0.83280,0.75643,1,0.83609,0.76477,1,0.83444,0.76060,1
1789334228.7636,204.03304,2595013452,0.84285,0.74870,1,0.83863,0.75397,1,0.84074,0.75134,1
1789334228.7706,204.03999,2595083038,0.84285,0.74870,1,0.84086,0.75161,1,0.84185,0.75015,1
1789334228.7770,204.04642,2595147313,0.84429,0.75657,1,0.85400,0.73567,1,0.84915,0.74612,1
1789334228.7840,204.05339,2595216948,0.85555,0.73382,1,0.85610,0.74670,1,0.85582,0.74026,1
1789334228.7904,204.05981,2595281197,0.85523,0.73419,1,0.85567,0.74713,1,0.85545,0.74066,1
1789334228.7973,204.06673,2595350417,0.82046,0.73083,1,0.85953,0.73089,1,0.83999,0.73086,1
1789334228.8040,204.07343,2595417265,0.81804,0.73717,1,0.85819,0.74025,1,0.83811,0.73871,1
1789334228.8105,204.07994,2595482428,0.81804,0.73717,1,0.85373,0.74488,1,0.83588,0.74102,1
1789334228.8174,204.08685,2595551684,0.81953,0.76594,1,0.85430,0.73999,1,0.83692,0.75297,1
1789334228.8239,204.09332,2595616253,0.82914,0.74884,1,0.84094,0.75092,1,0.83504,0.74988,1
1789334228.8308,204.10025,2595685530,0.82795,0.75024,1,0.84136,0.75047,1,0.83466,0.75036,1
1789334228.8373,204.10670,2595750052,0.83093,0.74951,1,0.83546,0.73581,1,0.83320,0.74266,1
1789334228.8440,204.11340,2595817080,0.83657,0.74506,1,0.84370,0.73077,1,0.84013,0.73792,1
1789334228.8510,204.12036,2595886678,0.83808,0.74330,1,0.84801,0.72597,1,0.84304,0.73463,1
1789334228.8574,204.12680,2595951081,0.83455,0.73895,1,0.85746,0.72274,1,0.84601,0.73084,1
1789334228.8643,204.13371,2596020248,0.81712,0.73176,1,0.86124,0.72451,1,0.83918,0.72814,1
1789334228.8708,204.14020,2596085072,0.81685,0.73213,1,0.85633,0.72980,1,0.83659,0.73096,1
1789334228.8775,204.14691,2596152203,0.82534,0.76000,1,0.86020,0.75775,1,0.84277,0.75888,1
1789334228.8842,204.15359,2596218977,0.82723,0.76155,1,0.82630,0.76295,1,0.82677,0.76225,1
1789334228.8909,204.16029,2596286001,0.82606,0.76289,1,0.82670,0.76252,1,0.82638,0.76270,1
1789334228.8979,204.16731,2596356219,0.83002,0.76158,1,0.83656,0.74977,1,0.83329,0.75568,1
1789334228.9043,204.17368,2596419805,0.83635,0.75807,1,0.84607,0.74824,1,0.84121,0.75315,1
1789334228.9112,204.18062,2596489293,0.83786,0.75639,1,0.85042,0.74366,1,0.84414,0.75002,1
1789334228.9177,204.18710,2596554045,0.84679,0.75347,1,0.85400,0.74151,1,0.85040,0.74749,1
1789334228.9248,204.19418,2596624935,0.84696,0.74146,1,0.85755,0.74053,1,0.85225,0.74100,1
1789334228.9311,204.20050,2596688065,0.84482,0.74389,1,0.85232,0.74598,1,0.84857,0.74493,1
1789334228.9378,204.20718,2596754946,0.82777,0.74597,1,0.84776,0.75528,1,0.83776,0.75063,1
1789334228.9445,204.21387,2596821794,0.84710,0.75513,1,0.84633,0.76350,1,0.84672,0.75932,1
1789334228.9514,204.22081,2596891137,0.84342,0.75910,1,0.84145,0.76841,1,0.84244,0.76376,1
1789334228.9582,204.22757,2596958764,0.81367,0.76574,1,0.83785,0.75094,1,0.82576,0.75834,1
1789334228.9646,204.23398,2597022819,0.83012,0.76641,1,0.83812,0.76206,1,0.83412,0.76423,1
