PC_TIME,TIME,TIME_TICK,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV
1789334218.1215,193.38983,2488581327,0.50428,0.55362,1,0.48070,0.56661,1,0.49249,0.56011,1
1789334218.1279,193.39618,2488644853,0.50686,0.54559,1,0.48499,0.53403,1,0.49593,0.53981,1
1789334218.1348,193.40311,2488714140,0.51410,0.54171,1,0.50823,0.53356,1,0.51117,0.53764,1
1789334218.1415,193.40982,2488781225,0.51319,0.53485,1,0.50836,0.52535,1,0.51078,0.53010,1
1789334218.1482,193.41647,2488847869,0.49876,0.55420,1,0.49588,0.55778,1,0.49732,0.55599,1
1789334218.1547,193.42297,2488912748,0.50280,0.56343,1,0.50323,0.54892,1,0.50302,0.55618,1
1789334218.1616,193.42990,2488982027,0.50388,0.57010,1,0.50313,0.56128,1,0.50351,0.56569,1
1789334218.1684,193.43669,2489050040,0.51859,0.57024,1,0.50915,0.55171,1,0.51387,0.56097,1
1789334218.1750,193.44327,2489115828,0.50063,0.57558,1,0.49608,0.55529,1,0.49835,0.56543,1
1789334218.1815,193.44977,2489180703,0.50121,0.57900,1,0.49610,0.55961,1,0.49866,0.56930,1
1789334218.1884,193.45667,2489249722,0.50282,0.56847,1,0.49697,0.55242,1,0.49990,0.56044,1
1789334218.1951,193.46341,2489317178,0.50192,0.56164,1,0.48171,0.55403,1,0.49182,0.55784,1
1789334218.2018,193.47012,2489384275,0.50078,0.55464,1,0.48135,0.54121,1,0.49106,0.54792,1
1789334218.2083,193.47656,2489448720,0.50466,0.54997,1,0.48280,0.53338,1,0.49373,0.54167,1
1789334218.2152,193.48347,2489517787,0.50308,0.57259,1,0.50101,0.51965,1,0.50205,0.54612,1
1789334218.2221,193.49042,2489587204,0.50254,0.56929,1,0.50101,0.51965,1,0.50177,0.54447,1
1789334218.2287,193.49699,2489653019,0.49462,0.54451,1,0.49564,0.56580,1,0.49513,0.55516,1
1789334218.2351,193.50337,2489716784,0.51760,0.55576,1,0.49989,0.56376,1,0.50874,0.55976,1
1789334218.2420,193.51030,2489786123,0.51894,0.56612,1,0.49987,0.57194,1,0.50941,0.56903,1
1789334218.2484,193.51674,2489850522,0.50437,0.54536,1,0.50195,0.54849,1,0.50316,0.54692,1
1789334218.2554,193.52370,2489920116,0.51704,0.58249,1,0.48071,0.54011,1,0.49887,0.56130,1
1789334218.2621,193.53040,2489987031,0.51700,0.58226,1,0.48070,0.53982,1,0.49885,0.56104,1
1789334218.2689,193.53719,2490054984,0.50775,0.56780,1,0.50407,0.56231,1,0.50591,0.56506,1
1789334218.2753,193.54355,2490118526,0.50258,0.55299,1,0.48637,0.58120,1,0.49447,0.56709,1
1789334218.2823,193.55055,2490188673,0.50205,0.54966,1,0.48629,0.57742,1,0.49417,0.56354,1
1789334218.2887,193.55695,2490252489,0.50330,0.57148,1,0.50516,0.53244,1,0.50423,0.55196,1
1789334218.2956,193.56387,2490321809,0.51141,0.57167,1,0.48496,0.53815,1,0.49819,0.55491,1
1789334218.3021,193.57037,2490386830,0.51141,0.57167,1,0.48496,0.53815,1,0.49819,0.55491,1
1789334218.3089,193.57724,2490455431,0.49939,0.55514,1,0.49696,0.52516,1,0.49817,0.54015,1
1789334218.3154,193.58371,2490520229,0.50600,0.56763,1,0.47451,0.54396,1,0.49025,0.55580,1
1789334218.3221,193.59042,2490587246,0.50600,0.56763,1,0.47451,0.54396,1,0.49025,0.55580,1
1789334218.3288,193.59712,2490654331,0.47076,0.42348,1,0.49165,0.40208,1,0.48121,0.41278,1
1789334218.3357,193.60403,2490723398,0.49542,0.41735,1,0.49423,0.38844,1,0.49483,0.40290,1
1789334218.3425,193.61078,2490790843,0.49487,0.41316,1,0.49423,0.38880,1,0.49455,0.40098,1
1789334218.3491,193.61743,2490857382,0.49940,0.43344,1,0.47738,0.44104,1,0.48839,0.43724,1
1789334218.3558,193.62413,2490924414,0.50396,0.46068,1,0.48969,0.44910,1,0.49682,0.45489,1
1789334218.3626,193.63087,2490991790,0.50450,0.46489,1,0.48975,0.45413,1,0.49712,0.45951,1
1789334218.3690,193.63730,2491056122,0.49548,0.45405,1,0.46766,0.43159,1,0.48157,0.44282,1
1789334218.3757,193.64401,2491123209,0.47999,0.45700,1,0.47377,0.42527,1,0.47688,0.44113,1
1789334218.3826,193.65091,2491192230,0.47999,0.45700,1,0.47360,0.42001,1,0.47680,0.43850,1
1789334218.3891,193.65739,2491257017,0.48366,0.43918,1,0.48174,0.41782,1,0.48270,0.42850,1
1789334218.3958,193.66411,2491324174,0.49488,0.42986,1,0.47941,0.40448,1,0.48715,0.41717,1
1789334218.4028,193.67108,2491393916,0.49428,0.42542,1,0.47941,0.40448,1,0.48684,0.41495,1
1789334218.4092,193.67751,2491458144,0.49148,0.42537,1,0.49056,0.41541,1,0.49102,0.42039,1
1789334218.4162,193.68446,2491527770,0.48992,0.42712,1,0.48776,0.41148,1,0.48884,0.41930,1
1789334218.4228,193.69112,2491594306,0.49115,0.43573,1,0.48791,0.42175,1,0.48953,0.42874,1
1789334218.4295,193.69780,2491661107,0.50046,0.42577,1,0.48097,0.43958,1,0.49072,0.43268,1
1789334218.4363,193.70461,2491729068,0.50056,0.46012,1,0.48445,0.44517,1,0.49250,0.45265,1
1789334218.4427,193.71098,2491792940,0.50056,0.46012,1,0.48445,0.44517,1,0.49250,0.45265,1
1789334218.4497,193.71802,2491863182,0.49476,0.44464,1,0.48700,0.43066,1,0.49088,0.43765,1
1789334218.4561,193.72441,2491927160,0.48982,0.44032,1,0.47728,0.41387,1,0.48355,0.42710,1
1789334218.4628,193.73109,2491994006,0.48853,0.43149,1,0.47683,0.39783,1,0.48268,0.41466,1
1789334218.4695,193.73776,2492060775,0.48690,0.41681,1,0.47000,0.40496,1,0.47845,0.41088,1
1789334218.4762,193.74449,2492128016,0.48590,0.35471,1,0.47507,0.33097,1,0.48049,0.34284,1
1789334218.4831,193.75142,2492197280,0.48526,0.34983,1,0.47507,0.33097,1,0.48017,0.34040,1
1789334218.4896,193.75787,2492261791,0.47686,0.28157,1,0.46506,0.29077,1,0.47096,0.28617,1
1789334218.4967,193.76495,2492332652,0.46262,0.27592,1,0.44866,0.26174,1,0.45564,0.26883,1
1789334218.5030,193.77129,2492395903,0.46426,0.28724,1,0.44937,0.27490,1,0.45681,0.28107,1
1789334218.5097,193.77797,2492462823,0.48458,0.26728,1,0.46506,0.26370,1,0.47482,0.26549,1
1789334218.5166,193.78490,2492532085,0.47503,0.27961,1,0.46218,0.26482,1,0.46860,0.27221,1
1789334218.5231,193.79138,2492596931,0.47503,0.27961,1,0.46218,0.26482,1,0.46860,0.27221,1
1789334218.5300,193.79828,2492665920,0.48930,0.26802,1,0.45435,0.26117,1,0.47183,0.26460,1
1789334218.5365,193.80476,2492730755,0.47971,0.27140,1,0.44743,0.24938,1,0.46357,0.26039,1
1789334218.5434,193.81171,2492800081,0.47897,0.26542,1,0.44706,0.24244,1,0.46301,0.25393,1
1789334218.5499,193.81816,2492864621,0.46335,0.24135,1,0.43507,0.21748,1,0.44921,0.22941,1
1789334218.5568,193.82507,2492933801,0.48783,0.23654,1,0.44917,0.23973,1,0.46850,0.23814,1
1789334218.5636,193.83192,2493002263,0.48783,0.23654,1,0.44917,0.23973,1,0.46850,0.23814,1
1789334218.5702,193.83847,2493067777,0.46705,0.26212,1,0.45426,0.22770,1,0.46066,0.24491,1
1789334218.5767,193.84497,2493132845,0.46199,0.26543,1,0.45391,0.25824,1,0.45795,0.26183,1
1789334218.5836,193.85187,2493201813,0.46361,0.27670,1,0.45452,0.27111,1,0.45906,0.27390,1
1789334218.5901,193.85838,2493266933,0.47847,0.28150,1,0.44077,0.27903,1,0.45962,0.28026,1
1789334218.5968,193.86508,2493333938,0.47823,0.28789,1,0.45717,0.28872,1,0.46770,0.28830,1
1789334218.6037,193.87202,2493403375,0.47823,0.28789,1,0.45717,0.28872,1,0.46770,0.28830,1
1789334218.6101,193.87843,2493467450,0.47509,0.27950,1,0.46074,0.27331,1,0.46792,0.27640,1
1789334218.6172,193.88553,2493538377,0.48307,0.26790,1,0.44873,0.25512,1,0.46590,0.26151,1
1789334218.6238,193.89211,2493604092,0.48172,0.25648,1,0.44804,0.24200,1,0.46488,0.24924,1
1789334218.6306,193.89886,2493671663,0.46860,0.25193,1,0.43456,0.23710,1,0.45158,0.24451,1
1789334218.6369,193.90524,2493735463,0.47323,0.25040,1,0.46243,0.22608,1,0.46783,0.23824,1
1789334218.6439,193.91216,2493804673,0.47323,0.25040,1,0.46243,0.22608,1,0.46783,0.23824,1
1789334218.6503,193.91864,2493869442,0.46068,0.19913,1,0.42987,0.19901,1,0.44528,0.19907,1
