PC_TIME,TIME,TIME_TICK,BPOGX,BPOGY,BPOGV
1784418321.3327,175.43115,2160558480,0.41071,0.04519,1
1784418321.3394,175.43787,2160625508,0.41757,0.06028,1
1784418321.3461,175.44455,2160692368,0.42059,0.07578,1
1784418321.3528,175.45125,2160759393,0.42341,0.10175,1
1784418321.3597,175.45818,2160828687,0.41168,0.12135,1
1784418321.3662,175.46465,2160893290,0.39788,0.13640,1
1784418321.3729,175.47136,2160960495,0.39932,0.14555,1
1784418321.3799,175.47833,2161030213,0.40892,0.14730,1
1784418321.3866,175.48502,2161097130,0.40920,0.14134,1
1784418321.3932,175.49171,2161164029,0.40842,0.13265,1
1784418321.3999,175.49835,2161230461,0.41997,0.12929,1
1784418321.4066,175.50511,2161297963,0.41667,0.12029,1
1784418321.4131,175.51158,2161362756,0.41472,0.10788,1
1784418321.4198,175.51825,2161429335,0.47240,0.10308,1
1784418321.4265,175.52492,2161496134,0.49095,0.10296,1
1784418321.4332,175.53162,2161563005,0.49030,0.09042,1
1784418321.4401,175.53859,2161632866,0.52874,0.05901,1
1784418321.4465,175.54501,2161697037,0.54700,0.02939,1
1784418321.4533,175.55176,2161764499,0.54697,0.02822,1
1784418321.4599,175.55841,2161831041,0.55048,0.03940,1
1784418321.4666,175.56511,2161898022,0.55884,0.06086,1
1784418321.4736,175.57204,2161967226,0.55886,0.08322,1
1784418321.4800,175.57851,2162032039,0.55290,0.09274,1
1784418321.4868,175.58522,2162099172,0.55902,0.10474,1
1784418321.4938,175.59227,2162169642,0.55894,0.11828,1
1784418321.5004,175.59889,2162235762,0.54841,0.12642,1
1784418321.5071,175.60555,2162302378,0.55218,0.13954,1
1784418321.5135,175.61201,2162367068,0.55233,0.14768,1
1784418321.5205,175.61893,2162436129,0.55524,0.14254,1
1784418321.5269,175.62538,2162500784,0.55179,0.14549,1
1784418321.5336,175.63211,2162568011,0.55179,0.14549,1
1784418321.5406,175.63907,2162637651,0.55313,0.13976,1
1784418321.5473,175.64572,2162704138,0.55000,0.14091,1
1784418321.5540,175.65247,2162771597,0.55000,0.14091,1
1784418321.5604,175.65891,2162835945,0.56204,0.15754,1
1784418321.5671,175.66559,2162902824,0.55763,0.15673,1
1784418321.5741,175.67252,2162972141,0.55763,0.15673,1
1784418321.5805,175.67899,2163036736,0.55215,0.15271,1
1784418321.5872,175.68570,2163103944,0.56035,0.14896,1
1784418321.5942,175.69267,2163173625,0.56042,0.13662,1
1784418321.6006,175.69908,2163237699,0.54956,0.13429,1
1784418321.6076,175.70604,2163307268,0.54912,0.11875,1
1784418321.6140,175.71248,2163371729,0.54874,0.08886,1
1784418321.6207,175.71918,2163438661,0.54077,0.05877,1
1784418321.6277,175.72617,2163508558,0.53720,0.03352,1
1784418321.6341,175.73257,2163572707,0.53697,0.04118,1
1784418321.6411,175.73956,2163642484,0.56032,0.07430,1
1784418321.6475,175.74597,2163706692,0.55570,0.10497,1
1784418321.6542,175.75267,2163773672,0.55608,0.13179,1
1784418321.6609,175.75937,2163840533,0.56402,0.12665,1
1784418321.6676,175.76607,2163907567,0.55777,0.12331,1
1784418321.6747,175.77315,2163978320,0.55770,0.10163,1
1784418321.6814,175.77983,2164045268,0.54994,0.08151,1
1784418321.6880,175.78651,2164112083,0.54797,0.06204,1
1784418321.6944,175.79288,2164175723,0.54775,0.03967,1
1784418321.7011,175.79958,2164242732,0.53775,0.02566,1
1784418321.7078,175.80626,2164309456,0.54171,0.03612,1
1784418321.7145,175.81296,2164376526,0.54138,0.03158,1
1784418321.7214,175.81989,2164445744,0.49133,0.04317,1
1784418321.7281,175.82657,2164512643,0.46278,0.03374,1
1784418321.7348,175.83327,2164579578,0.46455,0.05650,1
1784418321.7416,175.84006,2164647547,0.42468,0.11173,1
1784418321.7482,175.84666,2164713522,0.43901,0.12381,1
1784418321.7549,175.85339,2164780784,0.44197,0.14863,1
1784418321.7614,175.85985,2164845372,0.45040,0.15312,1
1784418321.7683,175.86679,2164914843,0.44831,0.16817,1
1784418321.7748,175.87325,2164979297,0.44923,0.17608,1
1784418321.7815,175.87994,2165046313,0.46033,0.18090,1
1784418321.7885,175.88693,2165116165,0.45539,0.18019,1
1784418321.7949,175.89334,2165180314,0.45518,0.17611,1
1784418321.8016,175.90004,2165247292,0.45151,0.15308,1
1784418321.8083,175.90672,2165314216,0.45234,0.14424,1
1784418321.8154,175.91391,2165385981,0.45120,0.13158,1
1784418321.8221,175.92059,2165452914,0.44669,0.12594,1
1784418321.8284,175.92682,2165515085,0.44626,0.11642,1
1784418321.8353,175.93376,2165584504,0.44436,0.09940,1
1784418321.8417,175.94020,2165648974,0.44103,0.08747,1
1784418321.8487,175.94714,2165718288,0.43975,0.07950,1
1784418321.8554,175.95389,2165785831,0.43886,0.07156,1
1784418321.8619,175.96033,2165850163,0.43866,0.07665,1
1784418321.8688,175.96730,2165919933,0.43932,0.05748,1
1784418321.8757,175.97420,2165988835,0.44020,0.06553,1
1784418321.8823,175.98077,2166054660,0.44592,0.07829,1
1784418321.8889,175.98735,2166120347,0.44951,0.08430,1
1784418321.8954,175.99382,2166185081,0.45035,0.09233,1
1784418321.9021,176.00052,2166252075,0.42929,0.08174,1
1784418321.9087,176.00720,2166318973,0.39550,0.07387,1
1784418321.9154,176.01390,2166385866,0.39550,0.07387,1
1784418321.9224,176.02089,2166455779,0.36836,0.08095,1
1784418321.9288,176.02730,2166519858,0.36399,0.07859,1
1784418321.9357,176.03421,2166588992,0.36502,0.08739,1
1784418321.9422,176.04070,2166653876,0.37414,0.10896,1
1784418321.9489,176.04739,2166720785,0.37323,0.12326,1
1784418321.9559,176.05435,2166790446,0.37487,0.13253,1
1784418321.9625,176.06100,2166856986,0.36932,0.14013,1
1784418321.9692,176.06770,2166923987,0.36781,0.12949,1
1784418321.9757,176.07419,2166988814,0.36633,0.12142,1
1784418321.9824,176.08089,2167055739,0.36488,0.12299,1
1784418321.9894,176.08786,2167125468,0.36542,0.11616,1
1784418321.9958,176.09428,2167189768,0.36542,0.11616,1
1784418322.0027,176.10120,2167258875,0.36326,0.11944,1
1784418322.0094,176.10791,2167326056,0.36417,0.11807,1
1784418322.0159,176.11438,2167390721,0.36417,0.11807,1
1784418322.0229,176.12135,2167460429,0.36634,0.14100,1
1784418322.0296,176.12804,2167527303,0.36595,0.13901,1
1784418322.0363,176.13472,2167594138,0.36595,0.13901,1
1784418322.0427,176.14117,2167658713,0.36702,0.14089,1
1784418322.0496,176.14809,2167727827,0.36651,0.12333,1
1784418322.0561,176.15459,2167792755,0.36651,0.12333,1
1784418322.0630,176.16151,2167862032,0.36592,0.12607,1
1784418322.0698,176.16829,2167929764,0.36729,0.12216,1
1784418322.0762,176.17467,2167993555,0.36729,0.12216,1
1784418322.0831,176.18161,2168062948,0.36182,0.12617,1
1784418322.0896,176.18806,2168127520,0.36199,0.12558,1
1784418322.0968,176.19522,2168199100,0.36299,0.12953,1
1784418322.1032,176.20169,2168263776,0.36621,0.14818,1
1784418322.1097,176.20815,2168328389,0.36385,0.14446,1
1784418322.1166,176.21507,2168397574,0.36331,0.13993,1
1784418322.1231,176.22157,2168462662,0.37903,0.12119,1
1784418322.1300,176.22845,2168531528,0.37539,0.11158,1
1784418322.1365,176.23494,2168596364,0.37382,0.10248,1
1784418322.1432,176.24164,2168663332,0.36737,0.10648,1
1784418322.1501,176.24861,2168732974,0.36749,0.11894,1
1784418322.1566,176.25502,2168797118,0.36806,0.12359,1
1784418322.1636,176.26202,2168867077,0.36972,0.12243,1
1784418322.1700,176.26843,2168931200,0.36714,0.15001,1
1784418322.1769,176.27536,2169000474,0.36881,0.15885,1
1784418322.1837,176.28218,2169068754,0.37240,0.14977,1
1784418322.1903,176.28874,2169134342,0.36959,0.14961,1
1784418322.1968,176.29523,2169199223,0.36959,0.14961,1
1784418322.2034,176.30191,2169265985,0.37022,0.14667,1
1784418322.2104,176.30888,2169335813,0.36567,0.14082,1
1784418322.2169,176.31532,2169400154,0.36567,0.14082,1
1784418322.2238,176.32225,2169469488,0.36978,0.15348,1
1784418322.2307,176.32912,2169538008,0.36700,0.15330,1
1784418322.2373,176.33572,2169604158,0.36700,0.15330,1
1784418322.2440,176.34251,2169672002,0.36340,0.14964,1
1784418322.2507,176.34917,2169738580,0.36662,0.15049,1
1784418322.2573,176.35579,2169804728,0.36514,0.14265,1
1784418322.2640,176.36244,2169871301,0.36262,0.13135,1
1784418322.2704,176.36891,2169936049,0.35999,0.12055,1
1784418322.2771,176.37561,2170003070,0.35999,0.12055,1
1784418322.2841,176.38257,2170072615,0.35923,0.13410,1
1784418322.2905,176.38899,2170136770,0.37103,0.13748,1
1784418322.2976,176.39607,2170207694,0.37294,0.14933,1
1784418322.3039,176.40240,2170271016,0.37150,0.16041,1
1784418322.3109,176.40938,2170340687,0.37042,0.17030,1
1784418322.3174,176.41582,2170405036,0.37042,0.17030,1
1784418322.3242,176.42271,2170474003,0.36950,0.16542,1
1784418322.3307,176.42920,2170538886,0.36676,0.15777,1
1784418322.3374,176.43588,2170605775,0.36526,0.14993,1
1784418322.3444,176.44286,2170675463,0.36253,0.14787,1
1784418322.3508,176.44928,2170739774,0.35671,0.15117,1
1784418322.3577,176.45619,2170808902,0.35775,0.15504,1
1784418322.3642,176.46269,2170873832,0.36392,0.14913,1
1784418322.3711,176.46960,2170942986,0.37234,0.15464,1
1784418322.3776,176.47607,2171007643,0.37180,0.15010,1
