PC_TIME,TIME,TIME_TICK,BPOGX,BPOGY,BPOGV
1784418413.1637,267.26416,3078888414,0.38764,0.50410,1
1784418413.1704,267.27084,3078955450,0.38078,0.48305,1
1784418413.1774,267.27783,3079025378,0.37427,0.47340,1
1784418413.1838,267.28424,3079089399,0.37109,0.46226,1
1784418413.1907,267.29120,3079158976,0.36186,0.44998,1
1784418413.1975,267.29800,3079226839,0.36270,0.44576,1
1784418413.2041,267.30457,3079292640,0.36117,0.44048,1
1784418413.2106,267.31107,3079357462,0.37562,0.44471,1
1784418413.2173,267.31772,3079424152,0.37201,0.44138,1
1784418413.2240,267.32443,3079491313,0.37110,0.43927,1
1784418413.2307,267.33112,3079558040,0.37073,0.44494,1
1784418413.2376,267.33804,3079627350,0.37075,0.46131,1
1784418413.2443,267.34476,3079694335,0.37386,0.47228,1
1784418413.2512,267.35162,3079763122,0.38533,0.47850,1
1784418413.2577,267.35812,3079828287,0.37640,0.48362,1
1784418413.2645,267.36499,3079896857,0.37640,0.48362,1
1784418413.2711,267.37155,3079962527,0.37514,0.49326,1
1784418413.2779,267.37833,3080030216,0.37591,0.48324,1
1784418413.2842,267.38470,3080094040,0.37492,0.48089,1
1784418413.2912,267.39169,3080163759,0.34478,0.50090,1
1784418413.2977,267.39813,3080228251,0.34463,0.50996,1
1784418413.3046,267.40506,3080297581,0.34508,0.50944,1
1784418413.3110,267.41150,3080361980,0.33575,0.50775,1
1784418413.3178,267.41821,3080428941,0.33138,0.50031,1
1784418413.3247,267.42520,3080499055,0.32838,0.49282,1
1784418413.3312,267.43164,3080563232,0.32890,0.50993,1
1784418413.3381,267.43851,3080632103,0.33118,0.52120,1
1784418413.3446,267.44501,3080696870,0.33493,0.53118,1
1784418413.3512,267.45169,3080763905,0.33476,0.53848,1
1784418413.3579,267.45837,3080830769,0.34276,0.54020,1
1784418413.3646,267.46509,3080897749,0.34276,0.54020,1
1784418413.3717,267.47217,3080968636,0.33460,0.54005,1
1784418413.3782,267.47870,3081034027,0.33389,0.53386,1
1784418413.3851,267.48557,3081102652,0.33212,0.52921,1
1784418413.3917,267.49213,3081168138,0.33555,0.51583,1
1784418413.3984,267.49881,3081235066,0.32621,0.51602,1
1784418413.4048,267.50528,3081299713,0.32621,0.51602,1
1784418413.4115,267.51199,3081366694,0.31824,0.52072,1
1784418413.4185,267.51892,3081435972,0.32446,0.52615,1
1784418413.4249,267.52539,3081500750,0.32629,0.53082,1
1784418413.4318,267.53229,3081569880,0.33094,0.54150,1
1784418413.4387,267.53915,3081638332,0.33622,0.54870,1
1784418413.4453,267.54572,3081704002,0.33689,0.55111,1
1784418413.4517,267.55219,3081768653,0.34019,0.53638,1
1784418413.4584,267.55887,3081835680,0.34533,0.54160,1
1784418413.4654,267.56583,3081905205,0.34533,0.54160,1
1784418413.4718,267.57230,3081969778,0.32880,0.54553,1
1784418413.4788,267.57922,3082039204,0.33064,0.53679,1
1784418413.4853,267.58572,3082104164,0.32938,0.53127,1
1784418413.4921,267.59259,3082172708,0.32129,0.52936,1
1784418413.4986,267.59903,3082237333,0.32179,0.51603,1
1784418413.5055,267.60599,3082306920,0.31788,0.50595,1
1784418413.5122,267.61270,3082374019,0.31777,0.49642,1
1784418413.5187,267.61914,3082438460,0.30906,0.49351,1
1784418413.5254,267.62585,3082505596,0.31173,0.50120,1
