PC_TIME,TIME,TIME_TICK,BPOGX,BPOGY,BPOGV
1784418391.5623,245.66232,2862870145,0.62879,0.88164,1
1784418391.5692,245.66928,2862939653,0.63851,0.87587,1
1784418391.5757,245.67570,2863004016,0.63976,0.87210,1
1784418391.5830,245.68307,2863077720,0.63976,0.87210,1
1784418391.5890,245.68909,2863137780,0.63312,0.88361,1
1784418391.5960,245.69606,2863207517,0.62987,0.87791,1
1784418391.6025,245.70250,2863271890,0.62936,0.87829,1
1784418391.6094,245.70943,2863341225,0.61935,0.88913,1
1784418391.6159,245.71590,2863405945,0.62961,0.89954,1
1784418391.6228,245.72281,2863474963,0.62961,0.89954,1
1784418391.6292,245.72928,2863539733,0.63450,0.91033,1
1784418391.6362,245.73621,2863609006,0.64364,0.91380,1
1784418391.6431,245.74310,2863677876,0.64359,0.91456,1
1784418391.6496,245.74960,2863743004,0.64003,0.91507,1
1784418391.6563,245.75638,2863810697,0.63123,0.90799,1
1784418391.6630,245.76300,2863876877,0.63118,0.90891,1
1784418391.6696,245.76968,2863943801,0.63415,0.90483,1
1784418391.6764,245.77640,2864010839,0.62733,0.90119,1
1784418391.6828,245.78288,2864075701,0.62773,0.89741,1
1784418391.6899,245.78990,2864145995,0.62968,0.90552,1
1784418391.6962,245.79628,2864209738,0.63171,0.89821,1
1784418391.7031,245.80319,2864278820,0.63208,0.89717,1
1784418391.7096,245.80968,2864343662,0.63988,0.89149,1
1784418391.7165,245.81657,2864412692,0.64588,0.90313,1
1784418391.7230,245.82307,2864477665,0.64587,0.90402,1
1784418391.7299,245.82999,2864546845,0.63184,0.87762,1
1784418391.7364,245.83647,2864611600,0.62044,0.90333,1
1784418391.7433,245.84337,2864680627,0.61999,0.90334,1
1784418391.7498,245.84987,2864745546,0.63388,0.90187,1
1784418391.7567,245.85677,2864814602,0.64351,0.89700,1
1784418391.7632,245.86325,2864879357,0.64392,0.89695,1
1784418391.7699,245.86993,2864946310,0.63768,0.89398,1
1784418391.7768,245.87689,2865015789,0.63144,0.87651,1
1784418391.7833,245.88336,2865080474,0.63184,0.87356,1
1784418391.7902,245.89026,2865149462,0.59970,0.82092,1
1784418391.7967,245.89674,2865214303,0.54874,0.83156,1
1784418391.8036,245.90366,2865283441,0.54877,0.83534,1
