PC_TIME,TIME,TIME_TICK,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV
1789335176.3942,264.10269,12071251515,0.46185,0.07404,1,0.47980,0.09560,1,0.47082,0.08482,1
1789335176.4011,264.10956,12071320248,0.45980,0.13152,1,0.48457,0.11673,1,0.47219,0.12413,1
1789335176.4076,264.11603,12071384936,0.46245,0.15989,1,0.48445,0.13715,1,0.47345,0.14852,1
1789335176.4143,264.12277,12071452336,0.46642,0.18176,1,0.46635,0.13413,1,0.46639,0.15794,1
1789335176.4213,264.12973,12071521695,0.46407,0.18809,1,0.44863,0.14080,1,0.45635,0.16445,1
1789335176.4277,264.13617,12071586073,0.46409,0.18830,1,0.44864,0.14102,1,0.45636,0.16466,1
1789335176.4347,264.14322,12071656780,0.45879,0.18725,1,0.44072,0.12258,1,0.44975,0.15492,1
1789335176.4411,264.14954,12071719968,0.44232,0.12182,1,0.45490,0.16949,1,0.44861,0.14565,1
1789335176.4480,264.15646,12071789163,0.44232,0.12182,1,0.45490,0.16949,1,0.44861,0.14565,1
1789335176.4545,264.16296,12071854088,0.43557,0.07332,1,0.43742,0.11934,1,0.43650,0.09633,1
1789335176.4612,264.16965,12071920933,0.45360,0.08442,1,0.43529,0.13498,1,0.44444,0.10970,1
1789335176.4681,264.17654,12071990105,0.45267,0.07451,1,0.43492,0.12538,1,0.44380,0.09995,1
1789335176.4746,264.18304,12072054984,0.44943,0.06722,1,0.43887,0.11272,1,0.44415,0.08997,1
1789335176.4815,264.18994,12072124065,0.44476,0.05080,1,0.43556,0.10191,1,0.44016,0.07636,1
1789335176.4882,264.19672,12072191736,0.44379,0.04084,1,0.43520,0.09228,1,0.43950,0.06656,1
1789335176.4946,264.20312,12072255910,0.45046,0.04875,1,0.44103,0.06733,1,0.44574,0.05804,1
1789335176.5017,264.21021,12072326609,0.44432,0.04787,1,0.44263,0.06333,1,0.44347,0.05560,1
1789335176.5080,264.21652,12072389871,0.44529,0.05777,1,0.44292,0.07321,1,0.44410,0.06549,1
1789335176.5150,264.22345,12072458959,0.44909,0.06744,1,0.43859,0.08537,1,0.44384,0.07640,1
1789335176.5214,264.22992,12072523792,0.42422,0.07982,1,0.44366,0.09685,1,0.43394,0.08834,1
1789335176.5282,264.23663,12072590821,0.42538,0.08972,1,0.44395,0.10670,1,0.43467,0.09821,1
1789335176.5351,264.24362,12072660825,0.42425,0.08235,1,0.43754,0.10945,1,0.43089,0.09590,1
1789335176.5416,264.25003,12072724724,0.42359,0.13218,1,0.43660,0.10740,1,0.43010,0.11979,1
1789335176.5485,264.25696,12072794057,0.42242,0.12266,1,0.43625,0.09756,1,0.42933,0.11011,1
1789335176.5550,264.26343,12072858750,0.43924,0.11194,1,0.43545,0.09255,1,0.43735,0.10225,1
1789335176.5616,264.27011,12072925653,0.43798,0.10414,1,0.43693,0.08149,1,0.43746,0.09282,1
1789335176.5687,264.27722,12072996621,0.43798,0.10414,1,0.43693,0.08149,1,0.43746,0.09282,1
1789335176.5751,264.28354,12073059841,0.45425,0.08385,1,0.43387,0.09369,1,0.44406,0.08877,1
1789335176.5820,264.29044,12073128811,0.44742,0.08945,1,0.43204,0.10506,1,0.43973,0.09725,1
1789335176.5887,264.29721,12073196694,0.44840,0.09923,1,0.43281,0.12438,1,0.44060,0.11181,1
1789335176.5951,264.30362,12073260816,0.44538,0.12254,1,0.42809,0.12790,1,0.43674,0.12522,1
1789335176.6021,264.31058,12073330245,0.45198,0.10224,1,0.45220,0.14570,1,0.45209,0.12397,1
1789335176.6085,264.31702,12073394739,0.45292,0.11194,1,0.45220,0.14570,1,0.45256,0.12882,1
1789335176.6154,264.32391,12073463703,0.44631,0.10640,1,0.44511,0.13871,1,0.44571,0.12255,1
1789335176.6219,264.33038,12073528455,0.44643,0.09664,1,0.44257,0.12454,1,0.44450,0.11059,1
1789335176.6286,264.33710,12073595529,0.44545,0.08689,1,0.44227,0.11499,1,0.44386,0.10094,1
1789335176.6356,264.34406,12073665136,0.44121,0.08706,1,0.45051,0.11982,1,0.44586,0.10344,1
1789335176.6420,264.35049,12073729469,0.44447,0.08179,1,0.44524,0.12691,1,0.44485,0.10435,1
1789335176.6487,264.35718,12073796445,0.44447,0.08179,1,0.44524,0.12691,1,0.44485,0.10435,1
1789335176.6557,264.36414,12073865878,0.44215,0.09365,1,0.44185,0.11979,1,0.44200,0.10672,1
1789335176.6621,264.37061,12073930498,0.43782,0.10201,1,0.44265,0.13049,1,0.44023,0.11625,1
1789335176.6688,264.37729,12073997476,0.43676,0.09223,1,0.44235,0.12085,1,0.43955,0.10654,1
1789335176.6757,264.38422,12074066762,0.45202,0.10465,1,0.46031,0.11007,1,0.45616,0.10736,1
1789335176.6822,264.39072,12074131720,0.46529,0.09696,1,0.46106,0.10247,1,0.46318,0.09972,1
1789335176.6892,264.39764,12074200993,0.46529,0.09696,1,0.46120,0.11189,1,0.46324,0.10443,1
1789335176.6956,264.40408,12074265360,0.51143,0.13576,1,0.50578,0.13910,1,0.50860,0.13743,1
1789335176.7025,264.41101,12074334493,0.51394,0.15091,1,0.54828,0.16628,1,0.53111,0.15859,1
1789335176.7093,264.41776,12074402161,0.51483,0.16935,1,0.54767,0.17581,1,0.53125,0.17258,1
1789335176.7158,264.42426,12074467227,0.55424,0.13355,1,0.56694,0.16050,1,0.56059,0.14703,1
1789335176.7226,264.43112,12074535729,0.57396,0.16923,1,0.58598,0.15504,1,0.57997,0.16213,1
1789335176.7291,264.43759,12074600297,0.57409,0.14048,1,0.58800,0.13442,1,0.58104,0.13745,1
1789335176.7360,264.44449,12074669395,0.56659,0.08359,1,0.58062,0.12813,1,0.57361,0.10586,1
1789335176.7427,264.45120,12074736547,0.57467,0.09873,1,0.58696,0.11113,1,0.58081,0.10493,1
1789335176.7492,264.45770,12074801509,0.57472,0.08782,1,0.58803,0.09986,1,0.58138,0.09384,1
1789335176.7561,264.46457,12074870320,0.57032,0.08748,1,0.59215,0.09555,1,0.58123,0.09152,1
1789335176.7626,264.47107,12074935175,0.57265,0.09503,1,0.59455,0.09593,1,0.58360,0.09548,1
1789335176.7693,264.47775,12075002140,0.57261,0.10575,1,0.59344,0.10702,1,0.58303,0.10639,1
1789335176.7762,264.48471,12075071716,0.57220,0.14870,1,0.59433,0.10327,1,0.58327,0.12599,1
1789335176.7827,264.49118,12075136211,0.57603,0.15108,1,0.59432,0.12084,1,0.58518,0.13596,1
1789335176.7894,264.49789,12075203320,0.57597,0.16156,1,0.59414,0.12256,1,0.58506,0.14206,1
1789335176.7961,264.50455,12075269946,0.57573,0.15480,1,0.59520,0.11328,1,0.58546,0.13404,1
1789335176.8030,264.51147,12075339320,0.56548,0.14596,1,0.59919,0.10176,1,0.58233,0.12386,1
1789335176.8098,264.51825,12075407132,0.56545,0.13710,1,0.60019,0.09228,1,0.58282,0.11469,1
1789335176.8162,264.52469,12075471434,0.56953,0.12111,1,0.60002,0.08928,1,0.58478,0.10520,1
1789335176.8232,264.53165,12075540876,0.57209,0.13226,1,0.59756,0.08114,1,0.58483,0.10670,1
1789335176.8295,264.53802,12075604917,0.57209,0.13226,1,0.59756,0.08114,1,0.58483,0.10670,1
1789335176.8363,264.54474,12075672031,0.56760,0.12651,1,0.59753,0.07657,1,0.58257,0.10154,1
1789335176.8433,264.55173,12075741743,0.57163,0.12922,1,0.59668,0.07492,1,0.58416,0.10207,1
1789335176.8497,264.55814,12075806021,0.57163,0.12922,1,0.59668,0.07492,1,0.58416,0.10207,1
1789335176.8567,264.56522,12075876624,0.57097,0.12074,1,0.59965,0.07841,1,0.58531,0.09958,1
1789335176.8631,264.57153,12075939937,0.57235,0.11413,1,0.59867,0.15454,1,0.58551,0.13433,1
1789335176.8698,264.57825,12076006988,0.57235,0.11413,1,0.59867,0.15454,1,0.58551,0.13433,1
1789335176.8767,264.58521,12076076446,0.57435,0.10825,1,0.57858,0.10734,1,0.57647,0.10780,1
1789335176.8832,264.59164,12076140866,0.57569,0.10666,1,0.57740,0.14677,1,0.57655,0.12671,1
1789335176.8901,264.59860,12076210584,0.57569,0.10666,1,0.57740,0.14677,1,0.57655,0.12671,1
1789335176.8966,264.60504,12076274834,0.57336,0.11234,1,0.58118,0.10905,1,0.57727,0.11070,1
1789335176.9032,264.61172,12076341858,0.57208,0.10793,1,0.57998,0.10564,1,0.57603,0.10678,1
1789335176.9102,264.61865,12076411022,0.57208,0.10793,1,0.57998,0.10564,1,0.57603,0.10678,1
1789335176.9166,264.62512,12076475715,0.57822,0.09983,1,0.58116,0.10582,1,0.57969,0.10283,1
1789335176.9236,264.63205,12076544879,0.57871,0.10781,1,0.58429,0.10901,1,0.58150,0.10841,1
