PC_TIME,TIME,TIME_TICK,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV
1789335215.7132,303.42810,12464505529,0.63691,0.68983,1,0.62919,0.70049,1,0.63305,0.69516,1
1789335215.7202,303.43512,12464575617,0.63361,0.68592,1,0.63326,0.71147,1,0.63343,0.69870,1
1789335215.7269,303.44180,12464642636,0.63304,0.69058,1,0.63186,0.71625,1,0.63245,0.70342,1
1789335215.7333,303.44821,12464706681,0.63206,0.70128,1,0.62812,0.71529,1,0.63009,0.70828,1
1789335215.7402,303.45511,12464775700,0.63163,0.71043,1,0.62373,0.72397,1,0.62768,0.71720,1
1789335215.7467,303.46158,12464840284,0.63163,0.71043,1,0.62242,0.72865,1,0.62703,0.71954,1
1789335215.7536,303.46854,12464909820,0.62208,0.71359,1,0.61603,0.73983,1,0.61906,0.72671,1
1789335215.7603,303.47525,12464977094,0.62535,0.70860,1,0.61480,0.73050,1,0.62008,0.71955,1
1789335215.7668,303.48172,12465041583,0.62486,0.71307,1,0.61356,0.73517,1,0.61921,0.72412,1
1789335215.7735,303.48840,12465108579,0.60956,0.73490,1,0.60105,0.71140,1,0.60531,0.72315,1
1789335215.7802,303.49509,12465175294,0.60750,0.74018,1,0.62045,0.72685,1,0.61398,0.73352,1
1789335215.7869,303.50180,12465242581,0.60714,0.74464,1,0.62042,0.72697,1,0.61378,0.73580,1
1789335215.7938,303.50876,12465311987,0.60538,0.74797,1,0.61773,0.72038,1,0.61156,0.73417,1
1789335215.8003,303.51520,12465376591,0.60354,0.74711,1,0.61552,0.71601,1,0.60953,0.73156,1
1789335215.8070,303.52188,12465443267,0.60386,0.74286,1,0.61552,0.71601,1,0.60969,0.72943,1
1789335215.8140,303.52890,12465513635,0.62229,0.75720,1,0.61003,0.73860,1,0.61616,0.74790,1
1789335215.8204,303.53528,12465577228,0.61880,0.72137,1,0.60580,0.73710,1,0.61230,0.72924,1
1789335215.8273,303.54218,12465646403,0.61881,0.72127,1,0.60583,0.73699,1,0.61232,0.72913,1
1789335215.8338,303.54868,12465711147,0.61324,0.73020,1,0.62284,0.73926,1,0.61804,0.73473,1
