PC_TIME,TIME,TIME_TICK,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV
1789335192.0275,279.73642,12227588629,0.51855,0.80612,1,0.53576,0.75160,1,0.52716,0.77886,1
1789335192.0344,279.74332,12227657805,0.51042,0.78690,1,0.53781,0.74748,1,0.52411,0.76719,1
1789335192.0412,279.75012,12227725702,0.50938,0.77918,1,0.53890,0.73856,1,0.52414,0.75887,1
1789335192.0476,279.75647,12227789355,0.49919,0.78024,1,0.51582,0.74051,1,0.50751,0.76037,1
1789335192.0545,279.76340,12227858464,0.49850,0.78771,1,0.51366,0.70957,1,0.50608,0.74864,1
1789335192.0612,279.77011,12227925709,0.49911,0.79152,1,0.51302,0.71900,1,0.50607,0.75526,1
1789335192.0679,279.77679,12227992423,0.51382,0.74550,1,0.51076,0.74877,1,0.51229,0.74713,1
1789335192.0744,279.78326,12228057250,0.50407,0.75460,1,0.52831,0.76538,1,0.51619,0.75999,1
1789335192.0811,279.78995,12228124144,0.50525,0.76309,1,0.52783,0.76989,1,0.51654,0.76649,1
1789335192.0881,279.79694,12228193968,0.49693,0.78221,1,0.53460,0.78086,1,0.51576,0.78154,1
1789335192.0945,279.80334,12228258095,0.48626,0.79390,1,0.52657,0.77873,1,0.50642,0.78631,1
1789335192.1014,279.81030,12228327433,0.48552,0.79002,1,0.52657,0.77873,1,0.50604,0.78438,1
1789335192.1082,279.81708,12228395213,0.50060,0.79230,1,0.52545,0.79023,1,0.51303,0.79127,1
1789335192.1146,279.82346,12228459178,0.51758,0.80552,1,0.52192,0.79756,1,0.51975,0.80154,1
1789335192.1215,279.83038,12228528509,0.51757,0.80543,1,0.52193,0.79746,1,0.51975,0.80145,1
1789335192.1282,279.83710,12228595421,0.51437,0.80797,1,0.51299,0.78338,1,0.51368,0.79568,1
1789335192.1349,279.84378,12228662292,0.50659,0.79797,1,0.51154,0.77616,1,0.50907,0.78707,1
1789335192.1417,279.85056,12228730068,0.50659,0.79797,1,0.51154,0.77616,1,0.50907,0.78707,1
1789335192.1481,279.85696,12228794273,0.50797,0.79499,1,0.50911,0.76616,1,0.50854,0.78057,1
1789335192.1550,279.86392,12228863734,0.50768,0.79801,1,0.52719,0.76820,1,0.51744,0.78311,1
1789335192.1614,279.87033,12228927961,0.50875,0.80539,1,0.52631,0.77665,1,0.51753,0.79102,1
1789335192.1682,279.87704,12228995037,0.51056,0.80051,1,0.53245,0.76575,1,0.52150,0.78313,1
1789335192.1752,279.88406,12229065146,0.51202,0.79396,1,0.51247,0.81262,1,0.51225,0.80329,1
1789335192.1816,279.89044,12229129061,0.51202,0.79396,1,0.51247,0.81262,1,0.51225,0.80329,1
1789335192.1885,279.89737,12229198166,0.49398,0.79111,1,0.51459,0.78553,1,0.50429,0.78832,1
1789335192.1950,279.90384,12229262836,0.50046,0.78465,1,0.51303,0.78410,1,0.50675,0.78438,1
1789335192.2019,279.91077,12229332068,0.49990,0.78105,1,0.51304,0.78402,1,0.50647,0.78253,1
1789335192.2087,279.91763,12229400749,0.50289,0.82233,1,0.50010,0.78124,1,0.50149,0.80179,1
1789335192.2150,279.92392,12229463720,0.51309,0.81915,1,0.50505,0.78161,1,0.50907,0.80038,1
1789335192.2217,279.93063,12229530930,0.51354,0.82241,1,0.50531,0.77716,1,0.50943,0.79978,1
1789335192.2287,279.93762,12229600655,0.49876,0.75591,1,0.52056,0.74947,1,0.50966,0.75269,1
1789335192.2351,279.94403,12229664856,0.50073,0.72937,1,0.49414,0.71432,1,0.49743,0.72184,1
1789335192.2421,279.95099,12229734430,0.50012,0.72491,1,0.49429,0.70955,1,0.49720,0.71723,1
1789335192.2485,279.95743,12229798894,0.49305,0.67719,1,0.52089,0.68220,1,0.50697,0.67970,1
1789335192.2554,279.96432,12229867925,0.50259,0.71038,1,0.49677,0.67545,1,0.49968,0.69291,1
1789335192.2619,279.97083,12229932659,0.50197,0.70559,1,0.49678,0.67532,1,0.49937,0.69045,1
