PC_TIME,TIME,TIME_TICK,BPOGX,BPOGY,BPOGV
1784418640.8593,494.95776,5355824481,0.41429,0.12963,1
1784418640.8662,494.96460,5355892842,0.40350,0.11410,1
1784418640.8725,494.97095,5355956347,0.39769,0.11116,1
1784418640.8796,494.97803,5356027059,0.39934,0.12307,1
1784418640.8859,494.98431,5356090192,0.41984,0.13105,1
1784418640.8928,494.99127,5356159541,0.42707,0.14449,1
1784418640.8993,494.99774,5356224219,0.42952,0.16084,1
1784418640.9062,495.00464,5356293364,0.42475,0.16826,1
1784418640.9130,495.01144,5356361472,0.42554,0.16451,1
1784418640.9194,495.01782,5356425182,0.42402,0.15235,1
1784418640.9264,495.02487,5356495654,0.42842,0.13533,1
1784418640.9328,495.03122,5356558977,0.41940,0.12432,1
1784418640.9398,495.03818,5356628572,0.41659,0.10289,1
1784418640.9462,495.04462,5356693090,0.40350,0.07229,1
1784418640.9529,495.05133,5356760197,0.40030,0.04642,1
1784418640.9596,495.05801,5356827192,0.40037,0.04913,1
1784418640.9665,495.06491,5356896075,0.39856,0.06053,1
1784418640.9732,495.07162,5356963040,0.41352,0.08383,1
1784418640.9800,495.07840,5357030848,0.41653,0.10630,1
1784418640.9867,495.08517,5357098788,0.41934,0.12078,1
1784418640.9933,495.09171,5357164087,0.43105,0.12527,1
1784418641.0001,495.09857,5357232553,0.43203,0.12966,1
1784418641.0067,495.10510,5357297974,0.42616,0.13239,1
1784418641.0135,495.11194,5357366329,0.41826,0.10647,1
1784418641.0199,495.11832,5357429937,0.41722,0.10213,1
1784418641.0268,495.12521,5357499006,0.41094,0.11120,1
1784418641.0335,495.13196,5357566377,0.40894,0.12214,1
1784418641.0402,495.13864,5357633172,0.40873,0.11858,1
1784418641.0467,495.14511,5357697936,0.41489,0.11451,1
1784418641.0534,495.15179,5357764827,0.41729,0.09381,1
1784418641.0601,495.15848,5357831754,0.41627,0.08950,1
1784418641.0671,495.16553,5357902332,0.40764,0.10975,1
1784418641.0737,495.17212,5357968201,0.41561,0.12588,1
1784418641.0805,495.17889,5358035876,0.41788,0.13796,1
1784418641.0871,495.18549,5358101852,0.42596,0.11714,1
1784418641.0939,495.19232,5358170045,0.42785,0.10620,1
1784418641.1005,495.19888,5358235766,0.42657,0.09719,1
1784418641.1072,495.20566,5358303565,0.41109,0.07244,1
1784418641.1136,495.21207,5358367516,0.41398,0.07633,1
1784418641.1207,495.21912,5358438013,0.41312,0.07294,1
1784418641.1273,495.22568,5358503672,0.41443,0.07511,1
1784418641.1340,495.23242,5358571270,0.41738,0.06942,1
1784418641.1407,495.23914,5358638232,0.41837,0.07392,1
