PC_TIME,TIME,TIME_TICK,BPOGX,BPOGY,BPOGV
1784418663.7062,517.80542,5584301288,0.44164,1.84764,1
1784418663.7127,517.81195,5584366177,0.43851,1.82924,1
1784418663.7197,517.81891,5584436073,0.43022,1.82070,1
1784418663.7263,517.82556,5584502303,0.43022,1.82070,1
1784418663.7330,517.83228,5584569719,0.43009,1.89156,1
1784418663.7394,517.83868,5584634001,0.46337,1.86027,1
1784418663.7464,517.84564,5584703584,0.46337,1.86027,1
1784418663.7529,517.85211,5584767846,0.46337,1.86027,0
1784418663.7596,517.85883,5584834940,0.46337,1.86027,0
1784418663.7665,517.86578,5584904568,0.46337,1.86027,0
1784418663.7732,517.87244,5584971128,0.46337,1.86027,0
1784418663.7799,517.87915,5585038713,0.46337,1.86027,0
1784418663.7864,517.88562,5585102994,0.46337,1.86027,0
1784418663.7933,517.89258,5585172545,0.46337,1.86027,0
1784418663.7997,517.89899,5585236840,0.46337,1.86027,0
1784418663.8064,517.90570,5585303891,0.46337,1.86027,0
1784418663.8134,517.91266,5585373437,0.46337,1.86027,0
1784418663.8199,517.91913,5585438328,0.46337,1.86027,0
1784418663.8268,517.92609,5585507776,0.46337,1.86027,0
1784418663.8334,517.93268,5585573998,0.46337,1.86027,0
1784418663.8401,517.93939,5585640879,0.46337,1.86027,0
1784418663.8466,517.94586,5585705810,0.46337,1.86027,0
1784418663.8533,517.95258,5585772645,0.46337,1.86027,0
1784418663.8603,517.95953,5585842448,0.46337,1.86027,0
1784418663.8667,517.96600,5585906824,0.46337,1.86027,0
1784418663.8736,517.97290,5585976093,0.46337,1.86027,0
1784418663.8801,517.97937,5586040527,0.46337,1.86027,0
1784418663.8870,517.98627,5586109734,0.46337,1.86027,0
1784418663.8938,517.99310,5586178082,0.46337,1.86027,0
1784418663.9004,517.99969,5586243793,0.46337,1.86027,0
1784418663.9069,518.00616,5586308636,0.46337,1.86027,0
1784418663.9139,518.01312,5586378317,0.46337,1.86027,0
1784418663.9203,518.01959,5586442786,0.46337,1.86027,0
1784418663.9274,518.02667,5586513730,0.46337,1.86027,0
1784418663.9337,518.03296,5586576362,0.46337,1.86027,0
1784418663.9406,518.03986,5586645606,0.46337,1.86027,0
1784418663.9471,518.04633,5586710443,0.46337,1.86027,0
1784418663.9540,518.05328,5586779602,0.46337,1.86027,0
1784418663.9609,518.06012,5586847819,0.46337,1.86027,0
1784418663.9672,518.06641,5586911217,0.46337,1.86027,0
1784418663.9742,518.07343,5586981163,0.46337,1.86027,0
1784418663.9806,518.07983,5587045324,0.46337,1.86027,0
1784418663.9875,518.08673,5587114469,0.46337,1.86027,0
1784418663.9943,518.09357,5587182438,0.50724,0.57652,1
1784418664.0007,518.09998,5587246569,0.51932,0.57269,1
1784418664.0076,518.10687,5587315882,0.51804,0.55531,1
1784418664.0141,518.11334,5587380510,0.49342,0.52326,1
1784418664.0210,518.12024,5587449557,0.51753,0.49330,1
1784418664.0277,518.12695,5587516579,0.51533,0.47354,1
1784418664.0344,518.13367,5587583573,0.50415,0.44463,1
1784418664.0411,518.14032,5587650357,0.50142,0.47012,1
1784418664.0478,518.14703,5587717337,0.50223,0.47831,1
1784418664.0545,518.15375,5587784344,0.50228,0.49784,1
1784418664.0612,518.16046,5587851318,0.50233,0.49697,1
1784418664.0679,518.16718,5587918859,0.50242,0.49766,1
1784418664.0744,518.17365,5587983130,0.50692,0.48675,1
1784418664.0813,518.18054,5588052278,0.50706,0.49699,1
1784418664.0881,518.18738,5588120644,0.50710,0.49958,1
1784418664.0948,518.19403,5588187170,0.50506,0.51255,1
1784418664.1016,518.20081,5588254891,0.50374,0.50628,1
1784418664.1081,518.20734,5588320308,0.50442,0.51137,1
1784418664.1146,518.21381,5588384895,0.48038,0.47662,1
1784418664.1213,518.22052,5588451972,0.43869,0.41293,1
1784418664.1279,518.22717,5588518805,0.43869,0.41293,1
1784418664.1349,518.23419,5588588805,0.40891,0.38349,1
1784418664.1413,518.24060,5588652977,0.40659,0.36198,1
1784418664.1484,518.24762,5588722879,0.40703,0.36131,1
1784418664.1548,518.25403,5588786893,0.40688,0.35732,1
1784418664.1617,518.26099,5588857016,0.40407,0.34598,1
1784418664.1681,518.26740,5588920992,0.39977,0.32676,1
1784418664.1750,518.27429,5588990100,0.38883,0.29003,1
1784418664.1816,518.28082,5589054873,0.39354,0.29988,1
1784418664.1882,518.28748,5589121851,0.39354,0.29988,1
1784418664.1954,518.29462,5589192952,0.39775,0.31641,1
1784418664.2016,518.30090,5589255777,0.38844,0.32748,1
1784418664.2085,518.30780,5589324883,0.38988,0.33356,1
1784418664.2150,518.31427,5589389850,0.39226,0.29877,1
1784418664.2217,518.32098,5589456776,0.40272,0.31647,1
1784418664.2284,518.32764,5589523582,0.40272,0.31647,1
1784418664.2351,518.33435,5589590707,0.40529,0.33024,1
1784418664.2421,518.34137,5589660591,0.39527,0.32386,1
1784418664.2485,518.34778,5589724615,0.39436,0.32147,1
1784418664.2554,518.35468,5589793874,0.39657,0.31979,1
1784418664.2619,518.36115,5589858579,0.41219,0.33767,1
1784418664.2688,518.36810,5589928055,0.41136,0.33076,1
1784418664.2757,518.37494,5589996177,0.37979,0.29916,1
1784418664.2824,518.38165,5590063491,0.39806,0.27185,1
1784418664.2889,518.38818,5590128690,0.39581,0.26466,1
1784418664.2956,518.39490,5590195802,0.40631,0.29416,1
1784418664.3024,518.40167,5590263828,0.38601,0.32415,1
1784418664.3088,518.40808,5590327975,0.38735,0.32834,1
1784418664.3158,518.41504,5590397071,0.39751,0.28742,1
1784418664.3230,518.42224,5590469277,0.37280,0.28903,1
1784418664.3292,518.42841,5590530942,0.37048,0.27779,1
1784418664.3356,518.43481,5590595276,0.38139,0.30318,1
1784418664.3426,518.44183,5590664945,0.38695,0.29297,1
1784418664.3492,518.44849,5590731541,0.38808,0.29796,1
1784418664.3559,518.45514,5590798545,0.37931,0.28675,1
1784418664.3627,518.46198,5590866465,0.40265,0.30681,1
1784418664.3691,518.46832,5590930395,0.40393,0.31281,1
1784418664.3760,518.47528,5590999449,0.37574,0.29149,1
1784418664.3827,518.48199,5591066632,0.31948,0.22562,1
1784418664.3895,518.48871,5591134053,0.32221,0.24024,1
1784418664.3962,518.49542,5591201144,0.25354,0.18027,1
1784418664.4026,518.50183,5591265097,0.21309,0.19352,1
1784418664.4093,518.50854,5591332211,0.22389,0.22135,1
1784418664.4163,518.51556,5591402784,0.18920,0.20070,1
1784418664.4227,518.52191,5591466273,0.18009,0.21615,1
1784418664.4294,518.52863,5591533066,0.17852,0.21307,1
1784418664.4363,518.53558,5591603040,0.18668,0.22096,1
1784418664.4430,518.54224,5591669470,0.17662,0.23382,1
1784418664.4498,518.54901,5591736904,0.17938,0.24008,1
1784418664.4562,518.55542,5591801131,0.18460,0.23713,1
1784418664.4632,518.56244,5591871519,0.18644,0.23787,1
1784418664.4698,518.56909,5591938036,0.18218,0.22737,1
1784418664.4767,518.57593,5592005945,0.17165,0.22247,1
1784418664.4833,518.58258,5592072465,0.16366,0.20384,1
1784418664.4897,518.58893,5592136184,0.16212,0.20086,1
1784418664.4966,518.59583,5592205442,0.18239,0.19210,1
1784418664.5033,518.60254,5592272148,0.18332,0.20601,1
1784418664.5099,518.60919,5592339118,0.18700,0.21535,1
1784418664.5168,518.61603,5592407480,0.18599,0.19603,1
1784418664.5234,518.62268,5592473588,0.19042,0.20287,1
1784418664.5298,518.62909,5592537981,0.19176,0.20568,1
1784418664.5365,518.63580,5592604806,0.19536,0.21233,1
1784418664.5435,518.64276,5592674780,0.19258,0.22193,1
1784418664.5502,518.64941,5592741001,0.18910,0.21289,1
1784418664.5569,518.65613,5592808258,0.18370,0.17391,1
1784418664.5636,518.66290,5592875878,0.17963,0.18481,1
1784418664.5701,518.66931,5592939919,0.17813,0.18173,1
1784418664.5770,518.67627,5593009503,0.16777,0.17879,1
1784418664.5834,518.68268,5593073956,0.18941,0.18528,1
1784418664.5903,518.68958,5593142888,0.19505,0.19931,1
1784418664.5972,518.69641,5593211125,0.19407,0.22508,1
1784418664.6035,518.70276,5593274726,0.17804,0.21398,1
1784418664.6105,518.70972,5593344348,0.17804,0.21398,1
1784418664.6171,518.71637,5593410837,0.18454,0.21544,1
1784418664.6239,518.72314,5593478135,0.19338,0.20066,1
1784418664.6305,518.72980,5593544833,0.19440,0.20369,1
1784418664.6373,518.73657,5593612527,0.19155,0.23427,1
1784418664.6440,518.74323,5593679272,0.17945,0.24996,1
1784418664.6504,518.74969,5593743696,0.17762,0.24555,1
1784418664.6573,518.75659,5593812912,0.18460,0.22008,1
1784418664.6642,518.76349,5593881734,0.17360,0.21258,1
1784418664.6705,518.76978,5593944681,0.16996,0.20374,1
1784418664.6774,518.77667,5594013846,0.16882,0.18738,1
1784418664.6839,518.78320,5594078734,0.17264,0.19645,1
1784418664.6908,518.79010,5594147889,0.17303,0.19735,1
1784418664.6973,518.79657,5594212462,0.16922,0.18832,1
1784418664.7043,518.80353,5594281924,0.17881,0.19459,1
1784418664.7110,518.81024,5594349347,0.17881,0.19459,1
1784418664.7174,518.81665,5594413637,0.17820,0.17969,1
1784418664.7244,518.82361,5594483050,0.17980,0.16887,1
1784418664.7308,518.83008,5594547888,0.17980,0.16887,1
1784418664.7377,518.83698,5594616495,0.17823,0.15913,1
1784418664.7442,518.84344,5594681227,0.17407,0.15214,1
1784418664.7509,518.85016,5594748281,0.17407,0.15214,1
1784418664.7579,518.85712,5594817936,0.18147,0.18172,1
1784418664.7645,518.86377,5594884474,0.19199,0.15973,1
1784418664.7715,518.87079,5594954706,0.19199,0.15973,1
1784418664.7777,518.87695,5595016261,0.18425,0.16473,1
1784418664.7844,518.88361,5595083265,0.17032,0.17852,1
1784418664.7913,518.89056,5595152854,0.17257,0.18497,1
1784418664.7978,518.89703,5595217430,0.18231,0.19037,1
1784418664.8047,518.90399,5595287058,0.18598,0.22110,1
1784418664.8112,518.91046,5595351221,0.19011,0.23037,1
1784418664.8181,518.91736,5595420688,0.19727,0.20575,1
1784418664.8246,518.92383,5595485182,0.18755,0.22145,1
1784418664.8315,518.93073,5595554277,0.18511,0.21568,1
1784418664.8382,518.93750,5595621680,0.18453,0.21388,1
1784418664.8449,518.94415,5595688396,0.18026,0.22379,1
1784418664.8517,518.95093,5595755997,0.17906,0.22050,1
1784418664.8583,518.95752,5595822334,0.17851,0.21530,1
1784418664.8648,518.96405,5595887225,0.16698,0.18965,1
1784418664.8718,518.97101,5595956920,0.16420,0.18317,1
1784418664.8782,518.97742,5596021120,0.17672,0.20281,1
1784418664.8852,518.98444,5596090994,0.17324,0.19389,1
1784418664.8915,518.99078,5596154946,0.17324,0.19389,1
1784418664.8985,518.99780,5596224844,0.16597,0.17822,1
1784418664.9050,519.00421,5596288843,0.15844,0.19894,1
1784418664.9119,519.01117,5596358552,0.15648,0.19495,1
1784418664.9183,519.01758,5596422878,0.16653,0.19171,1
1784418664.9253,519.02454,5596492058,0.17215,0.19279,1
1784418664.9318,519.03101,5596556982,0.17278,0.19480,1
1784418664.9386,519.03790,5596626033,0.17724,0.19680,1
1784418664.9451,519.04437,5596690892,0.17997,0.22315,1
1784418664.9518,519.05109,5596757988,0.18548,0.23593,1
1784418664.9589,519.05811,5596827979,0.18400,0.22124,1
1784418664.9652,519.06445,5596891653,0.19226,0.24527,1
1784418664.9722,519.07141,5596961309,0.19433,0.24968,1
1784418664.9786,519.07788,5597025791,0.19008,0.24477,1
1784418664.9856,519.08490,5597095908,0.18219,0.23802,1
1784418664.9922,519.09149,5597161859,0.17655,0.22512,1
1784418664.9990,519.09821,5597228825,0.17453,0.22695,1
1784418665.0057,519.10498,5597296914,0.17857,0.21244,1
1784418665.0124,519.11163,5597363025,0.17857,0.21244,1
1784418665.0190,519.11829,5597429785,0.16345,0.21292,1
1784418665.0257,519.12500,5597496960,0.17656,0.22588,1
1784418665.0325,519.13177,5597564962,0.17972,0.23310,1
1784418665.0392,519.13843,5597631269,0.19181,0.22591,1
1784418665.0460,519.14526,5597699587,0.17999,0.20591,1
1784418665.0526,519.15186,5597765291,0.17999,0.20591,1
1784418665.0594,519.15869,5597833612,0.17634,0.23262,1
1784418665.0659,519.16516,5597898708,0.17859,0.23608,1
1784418665.0726,519.17188,5597965695,0.17859,0.23608,1
1784418665.0793,519.17859,5598032568,0.18231,0.22127,1
1784418665.0858,519.18506,5598097700,0.17622,0.22969,1
1784418665.0925,519.19177,5598164546,0.17903,0.23609,1
1784418665.0995,519.19873,5598234469,0.19322,0.24206,1
1784418665.1059,519.20514,5598298347,0.19057,0.24886,1
1784418665.1128,519.21210,5598368037,0.19441,0.25822,1
1784418665.1193,519.21857,5598432342,0.19868,0.26636,1
1784418665.1263,519.22559,5598502899,0.19537,0.29300,1
1784418665.1327,519.23193,5598566471,0.19559,0.29253,1
1784418665.1396,519.23889,5598635938,0.19286,0.26736,1
1784418665.1461,519.24536,5598700418,0.19262,0.24338,1
1784418665.1530,519.25226,5598769399,0.18965,0.23745,1
1784418665.1598,519.25909,5598837612,0.19421,0.25862,1
1784418665.1662,519.26544,5598901336,0.20015,0.24925,1
1784418665.1728,519.27209,5598968047,0.19839,0.24461,1
1784418665.1796,519.27881,5599035239,0.18040,0.23923,1
1784418665.1865,519.28577,5599104296,0.17903,0.21566,1
1784418665.1933,519.29260,5599172984,0.17486,0.20647,1
1784418665.1999,519.29919,5599238930,0.17722,0.21798,1
1784418665.2063,519.30560,5599303193,0.18556,0.24097,1
1784418665.2133,519.31256,5599372458,0.19010,0.25099,1
1784418665.2201,519.31934,5599440195,0.18498,0.25612,1
1784418665.2267,519.32593,5599506263,0.17904,0.25733,1
1784418665.2334,519.33270,5599573720,0.18046,0.26085,1
1784418665.2401,519.33936,5599640283,0.17755,0.24415,1
1784418665.2469,519.34619,5599708688,0.19210,0.24821,1
1784418665.2535,519.35278,5599774989,0.19231,0.24774,1
1784418665.2605,519.35980,5599844916,0.18471,0.24422,1
1784418665.2667,519.36591,5599906042,0.18271,0.23370,1
1784418665.2736,519.37286,5599975719,0.17284,0.21144,1
1784418665.2801,519.37933,5600040034,0.16410,0.19730,1
1784418665.2870,519.38629,5600109731,0.16451,0.20818,1
1784418665.2934,519.39270,5600173967,0.16833,0.21730,1
1784418665.3003,519.39960,5600243018,0.17999,0.20537,1
1784418665.3069,519.40613,5600307935,0.18567,0.24215,1
1784418665.3135,519.41278,5600375018,0.19127,0.25502,1
1784418665.3205,519.41974,5600444265,0.19115,0.25086,1
1784418665.3270,519.42621,5600508880,0.18796,0.24180,1
1784418665.3339,519.43311,5600578037,0.18796,0.24180,1
1784418665.3407,519.43994,5600646517,0.18758,0.24535,1
1784418665.3473,519.44659,5600712657,0.19159,0.23658,1
1784418665.3537,519.45300,5600776854,0.18844,0.22917,1
1784418665.3606,519.45990,5600845870,0.18023,0.22631,1
1784418665.3671,519.46637,5600910785,0.18501,0.22634,1
1784418665.3738,519.47308,5600977846,0.18396,0.22342,1
1784418665.3805,519.47980,5601044725,0.17845,0.22047,1
1784418665.3872,519.48645,5601111602,0.17824,0.23148,1
1784418665.3942,519.49347,5601181802,0.18098,0.23852,1
1784418665.4009,519.50012,5601248143,0.19108,0.22793,1
1784418665.4076,519.50690,5601316057,0.18374,0.24849,1
1784418665.4145,519.51373,5601384100,0.18320,0.24647,1
1784418665.4211,519.52039,5601451038,0.18205,0.24426,1
1784418665.4274,519.52667,5601513776,0.17251,0.23999,1
1784418665.4341,519.53339,5601580770,0.16780,0.22951,1
1784418665.4408,519.54004,5601647567,0.17597,0.22803,1
1784418665.4475,519.54675,5601714594,0.17464,0.22471,1
1784418665.4542,519.55347,5601781506,0.17885,0.23481,1
1784418665.4609,519.56012,5601848316,0.18235,0.22452,1
1784418665.4679,519.56714,5601918104,0.19093,0.24312,1
1784418665.4743,519.57355,5601982339,0.19230,0.24597,1
1784418665.4812,519.58044,5602051579,0.19376,0.20336,1
1784418665.4880,519.58728,5602119698,0.19180,0.22249,1
1784418665.4944,519.59363,5602183461,0.18734,0.21223,1
1784418665.5014,519.60065,5602253148,0.16989,0.19914,1
1784418665.5078,519.60706,5602317752,0.17993,0.20682,1
1784418665.5147,519.61395,5602386448,0.18402,0.21614,1
1784418665.5212,519.62042,5602451194,0.19560,0.20326,1
1784418665.5281,519.62738,5602520441,0.19495,0.22048,1
1784418665.5346,519.63385,5602585357,0.19357,0.21755,1
1784418665.5415,519.64075,5602654643,0.18150,0.21017,1
1784418665.5480,519.64722,5602719161,0.17671,0.20642,1
1784418665.5549,519.65411,5602788340,0.17531,0.20273,1
1784418665.5614,519.66064,5602853185,0.17669,0.20662,1
1784418665.5681,519.66736,5602920352,0.17816,0.20703,1
1784418665.5750,519.67426,5602989291,0.17676,0.20417,1
1784418665.5815,519.68073,5603054158,0.18210,0.19468,1
1784418665.5884,519.68762,5603123263,0.18635,0.20739,1
1784418665.5952,519.69446,5603191794,0.19042,0.21675,1
1784418665.6019,519.70111,5603257795,0.17417,0.22441,1
1784418665.6086,519.70782,5603325323,0.18678,0.22568,1
1784418665.6152,519.71442,5603391329,0.18430,0.21986,1
1784418665.6219,519.72119,5603458730,0.18606,0.19720,1
1784418665.6283,519.72760,5603522975,0.17437,0.17536,1
1784418665.6354,519.73462,5603593103,0.17163,0.16872,1
1784418665.6418,519.74103,5603657058,0.16986,0.18407,1
1784418665.6487,519.74799,5603726620,0.17911,0.18266,1
1784418665.6552,519.75446,5603791243,0.18222,0.19022,1
1784418665.6619,519.76111,5603858119,0.18208,0.22846,1
1784418665.6688,519.76807,5603927668,0.17372,0.20928,1
1784418665.6752,519.77448,5603991900,0.17053,0.20188,1
1784418665.6822,519.78149,5604061690,0.16799,0.19990,1
