PC_TIME,TIME,TIME_TICK,BPOGX,BPOGY,BPOGV
1784418652.4049,506.50562,5471302948,0.43837,1.84178,0
1784418652.4115,506.51224,5471369330,0.43837,1.84178,0
1784418652.4182,506.51898,5471436642,0.43837,1.84178,0
1784418652.4249,506.52563,5471503404,0.43837,1.84178,0
1784418652.4317,506.53241,5471570983,0.43837,1.84178,0
1784418652.4380,506.53879,5471634776,0.43837,1.84178,0
1784418652.4451,506.54587,5471705504,0.43837,1.84178,0
1784418652.4517,506.55249,5471771860,0.43837,1.84178,0
1784418652.4585,506.55920,5471839025,0.43837,1.84178,0
1784418652.4652,506.56595,5471906343,0.43837,1.84178,0
1784418652.4718,506.57257,5471972571,0.43837,1.84178,0
1784418652.4784,506.57919,5472038979,0.43837,1.84178,0
1784418652.4852,506.58597,5472106513,0.43837,1.84178,0
1784418652.4916,506.59238,5472170793,0.43837,1.84178,0
1784418652.4985,506.59927,5472239731,0.43837,1.84178,0
1784418652.5053,506.60608,5472307705,0.43837,1.84178,0
1784418652.5119,506.61267,5472373662,0.43837,1.84178,0
1784418652.5187,506.61945,5472441499,0.43837,1.84178,0
1784418652.5254,506.62610,5472507853,0.43837,1.84178,0
1784418652.5318,506.63257,5472572504,0.43837,1.84178,0
1784418652.5388,506.63959,5472642770,0.43837,1.84178,0
1784418652.5455,506.64621,5472708934,0.42426,1.88673,1
1784418652.5519,506.65268,5472773591,0.42426,1.88673,1
1784418652.5589,506.65961,5472842962,0.42426,1.88673,0
1784418652.5657,506.66641,5472910962,0.42426,1.88673,0
1784418652.5723,506.67300,5472976821,0.42426,1.88673,0
1784418652.5791,506.67984,5473045415,0.42426,1.88673,0
1784418652.5858,506.68652,5473112267,0.42426,1.88673,0
1784418652.5921,506.69284,5473175443,0.42426,1.88673,0
1784418652.5988,506.69955,5473242361,0.42426,1.88673,0
1784418652.6059,506.70660,5473312861,0.42426,1.88673,0
1784418652.6122,506.71295,5473376335,0.42426,1.88673,0
1784418652.6192,506.71991,5473446089,0.42426,1.88673,0
1784418652.6260,506.72672,5473514000,0.42426,1.88673,0
1784418652.6325,506.73328,5473579675,0.42426,1.88673,0
1784418652.6393,506.74005,5473647356,0.42426,1.88673,0
1784418652.6457,506.74643,5473711334,0.42426,1.88673,0
1784418652.6527,506.75348,5473781748,0.42426,1.88673,0
1784418652.6591,506.75983,5473845245,0.42426,1.88673,0
1784418652.6661,506.76688,5473915795,0.42426,1.88673,0
1784418652.6727,506.77344,5473981267,0.42426,1.88673,0
1784418652.6796,506.78030,5474049995,0.42426,1.88673,0
1784418652.6859,506.78662,5474113079,0.42426,1.88673,0
1784418652.6928,506.79358,5474182741,0.42426,1.88673,0
1784418652.6993,506.80005,5474247262,0.42426,1.88673,0
1784418652.7062,506.80692,5474316202,0.42426,1.88673,0
1784418652.7129,506.81363,5474383224,0.42426,1.88673,0
1784418652.7196,506.82031,5474450151,0.48862,0.65295,1
1784418652.7264,506.82712,5474518173,0.48639,0.64350,1
1784418652.7330,506.83371,5474584142,0.48770,0.65335,1
1784418652.7398,506.84052,5474652023,0.49634,0.60973,1
1784418652.7462,506.84692,5474716051,0.50281,0.66779,1
1784418652.7532,506.85391,5474786108,0.50554,0.68149,1
1784418652.7598,506.86050,5474852082,0.49888,0.67454,1
1784418652.7665,506.86728,5474919674,0.49619,0.65827,1
1784418652.7732,506.87390,5474985986,0.49447,0.64830,1
1784418652.7799,506.88065,5475053517,0.48464,0.65404,1
1784418652.7863,506.88708,5475117791,0.49483,0.62688,1
1784418652.7933,506.89401,5475187155,0.49411,0.62300,1
1784418652.8000,506.90076,5475254505,0.50498,0.64762,1
1784418652.8065,506.90720,5475318931,0.48090,0.65046,1
1784418652.8135,506.91425,5475389294,0.48268,0.65848,1
1784418652.8198,506.92059,5475452843,0.48414,0.66495,1
1784418652.8270,506.92770,5475524065,0.50900,0.65943,1
1784418652.8335,506.93423,5475589146,0.50900,0.65943,1
1784418652.8404,506.94113,5475658198,0.51331,0.65329,1
1784418652.8471,506.94781,5475725104,0.49179,0.64291,1
1784418652.8537,506.95447,5475791646,0.49103,0.63904,1
1784418652.8600,506.96078,5475854759,0.49073,0.50275,1
1784418652.8669,506.96768,5475923686,0.49097,0.46072,1
1784418652.8735,506.97421,5475988937,0.49170,0.46596,1
1784418652.8805,506.98120,5476058866,0.49701,0.45237,1
1784418652.8872,506.98798,5476126697,0.48547,0.47487,1
1784418652.8941,506.99484,5476195284,0.48547,0.47487,1
1784418652.9002,507.00098,5476256762,0.49417,0.45929,1
1784418652.9072,507.00790,5476325875,0.48755,0.45275,1
1784418652.9138,507.01459,5476392794,0.48678,0.44741,1
1784418652.9207,507.02142,5476461168,0.48297,0.43187,1
1784418652.9270,507.02777,5476524568,0.49180,0.45347,1
1784418652.9340,507.03470,5476593933,0.49180,0.45347,1
1784418652.9408,507.04150,5476661895,0.49026,0.41994,1
1784418652.9474,507.04810,5476727956,0.48004,0.41997,1
1784418652.9541,507.05484,5476795239,0.48004,0.41997,1
1784418652.9605,507.06125,5476859458,0.49619,0.46150,1
1784418652.9675,507.06821,5476928877,0.49205,0.44642,1
1784418652.9739,507.07465,5476993245,0.49205,0.44642,1
1784418652.9809,507.08160,5477063097,0.49424,0.43151,1
1784418652.9873,507.08807,5477127571,0.49189,0.45174,1
1784418652.9942,507.09497,5477196513,0.49106,0.44567,1
1784418653.0010,507.10175,5477264438,0.49008,0.44128,1
1784418653.0076,507.10834,5477330394,0.49033,0.42090,1
1784418653.0144,507.11517,5477398697,0.48951,0.41473,1
1784418653.0210,507.12177,5477464443,0.49453,0.41965,1
1784418653.0278,507.12854,5477532339,0.48110,0.40247,1
1784418653.0342,507.13492,5477596143,0.48182,0.40550,1
1784418653.0411,507.14185,5477665448,0.50367,0.44859,1
1784418653.0476,507.14832,5477730206,0.51764,0.46394,1
1784418653.0543,507.15506,5477797390,0.51819,0.47206,1
1784418653.0613,507.16202,5477867062,0.49840,0.45042,1
