PC_TIME,TIME,TIME_TICK,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV
1789334743.5118,718.78180,7742500903,0.66291,0.83034,1,0.59570,0.79460,1,0.62931,0.81247,1
1789334743.5187,718.78870,7742570211,0.66241,0.83159,1,0.59581,0.79423,1,0.62911,0.81291,1
1789334743.5252,718.79517,7742634956,0.69849,0.83873,1,0.62796,0.81312,1,0.66322,0.82592,1
1789334743.5319,718.80188,7742701801,0.68423,0.87807,1,0.61645,0.80243,1,0.65034,0.84025,1
1789334743.5389,718.80890,7742772140,0.68498,0.87696,1,0.61645,0.80243,1,0.65071,0.83970,1
1789334743.5453,718.81525,7742835706,0.71905,0.87549,1,0.62209,0.81589,1,0.67057,0.84569,1
1789334743.5522,718.82220,7742904972,0.71184,0.92309,1,0.61622,0.82203,1,0.66403,0.87256,1
1789334743.5587,718.82867,7742969744,0.71089,0.92385,1,0.61536,0.82420,1,0.66312,0.87402,1
1789334743.5657,718.83569,7743039789,0.72971,0.97675,1,0.61792,0.82790,1,0.67382,0.90232,1
1789334743.5724,718.84241,7743106902,0.74534,0.96145,1,0.61929,0.82867,1,0.68231,0.89506,1
1789334743.5788,718.84875,7743170736,0.74637,0.96104,1,0.61924,0.82877,1,0.68281,0.89491,1
1789334743.5857,718.85571,7743240308,0.74637,0.96104,0,0.61737,0.81117,1,0.61737,0.81117,1
1789334743.5921,718.86212,7743304576,0.74637,0.96104,0,0.62270,0.79981,1,0.62270,0.79981,1
1789334743.5989,718.86890,7743371774,0.74637,0.96104,0,0.62265,0.79993,1,0.62265,0.79993,1
1789334743.6059,718.87585,7743441380,0.74637,0.96104,0,0.62780,0.79282,1,0.62780,0.79282,1
1789334743.6125,718.88251,7743507954,0.74637,0.96104,0,0.62543,0.81850,1,0.62543,0.81850,1
1789334743.6192,718.88922,7743575362,0.74637,0.96104,0,0.62543,0.81850,1,0.62543,0.81850,1
