PC_TIME,TIME,TIME_TICK,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV
1789334777.1534,752.41400,8078822994,0.44037,0.04269,1,0.49092,0.05120,1,0.46565,0.04694,1
1789334777.1601,752.42065,8078889897,0.45526,0.00560,1,0.48274,-0.03249,1,0.46900,-0.01345,1
1789334777.1665,752.42712,8078954599,0.45560,0.00878,1,0.48279,-0.02891,1,0.46919,-0.01007,1
1789334777.1733,752.43390,8079021823,0.42308,0.01198,1,0.50747,0.01754,1,0.46528,0.01476,1
1789334777.1804,752.44098,8079092619,0.43600,0.03262,1,0.46233,0.00408,1,0.44916,0.01835,1
1789334777.1869,752.44745,8079157864,0.43600,0.03262,1,0.46233,0.00408,1,0.44916,0.01835,1
1789334777.1936,752.45422,8079225284,0.45542,0.00603,1,0.47849,0.00345,1,0.46695,0.00474,1
1789334777.2004,752.46100,8079292778,0.41126,0.01567,1,0.49202,0.00236,1,0.45164,0.00902,1
1789334777.2068,752.46741,8079357011,0.41126,0.01567,1,0.49202,0.00236,1,0.45164,0.00902,1
1789334777.2137,752.47424,8079425770,0.43289,0.05038,1,0.45812,-0.01669,1,0.44550,0.01685,1
1789334777.2202,752.48077,8079490615,0.43567,0.02103,1,0.46827,0.02676,1,0.45197,0.02389,1
1789334777.2269,752.48743,8079557510,0.43567,0.02103,1,0.46827,0.02676,1,0.45197,0.02389,1
1789334777.2339,752.49445,8079627371,0.44989,0.01857,1,0.47443,-0.00964,1,0.46216,0.00447,1
1789334777.2406,752.50122,8079695257,0.45136,0.01893,1,0.47536,0.02492,1,0.46336,0.02192,1
1789334777.2472,752.50775,8079760701,0.45136,0.01893,1,0.47536,0.02492,1,0.46336,0.02192,1
1789334777.2536,752.51422,8079825549,0.46757,0.04703,1,0.46484,0.02645,1,0.46621,0.03674,1
1789334777.2604,752.52094,8079892613,0.45640,0.00944,1,0.48301,0.01063,1,0.46970,0.01004,1
1789334777.2674,752.52795,8079962518,0.45640,0.00944,1,0.48301,0.01063,1,0.46970,0.01004,1
1789334777.2740,752.53455,8080028681,0.44966,0.00934,1,0.46955,-0.00379,1,0.45960,0.00277,1
1789334777.2808,752.54138,8080096780,0.44949,0.02139,1,0.47240,0.01448,1,0.46094,0.01793,1
1789334777.2872,752.54773,8080160298,0.44949,0.02139,1,0.47240,0.01448,1,0.46094,0.01793,1
1789334777.2941,752.55469,8080229899,0.43837,0.03904,1,0.49886,-0.01932,1,0.46862,0.00986,1
1789334777.3006,752.56116,8080294539,0.45598,0.01644,1,0.49451,-0.00267,1,0.47524,0.00688,1
1789334777.3072,752.56781,8080361474,0.45598,0.01644,1,0.49451,-0.00267,1,0.47524,0.00688,1
