time,gaze_x_left,gaze_y_left,gaze_x_right,gaze_y_right,pupil_left,pupil_right,stimfile,subject_id
1089140897,144.2,154.95,121.42,211.3,3.49,3.73,s7_stimuli_t4.jpg,1476
1089144898,145.2,153.84,118.81,212.28,3.48,3.74,s7_stimuli_t4.jpg,1476
1089148898,146.55,151.3,117.95,209.29,3.49,3.74,s7_stimuli_t4.jpg,1476
1089152899,146.75,149.63,116.66,207.96,3.48,3.74,s7_stimuli_t4.jpg,1476
1089156900,146.96,147.24,119.85,207.04,3.48,3.74,s7_stimuli_t4.jpg,1476
1089160900,145.66,146.11,119.93,201.65,3.48,3.74,s7_stimuli_t4.jpg,1476
1089164901,144.11,145.87,122.65,200.37,3.49,3.74,s7_stimuli_t4.jpg,1476
1089168901,140.76,144.11,122.1,197.01,3.5,3.74,s7_stimuli_t4.jpg,1476
1089172902,141.07,143.73,121.61,195.56,3.5,3.73,s7_stimuli_t4.jpg,1476
1089176902,141.12,140.33,123.29,192.64,3.5,3.73,s7_stimuli_t4.jpg,1476
1089180903,143.03,138.39,121.52,192.06,3.5,3.74,s7_stimuli_t4.jpg,1476
1089184903,143.87,136.68,121.27,186.53,3.51,3.74,s7_stimuli_t4.jpg,1476
1089188904,146.88,135.93,120.9,184.03,3.51,3.74,s7_stimuli_t4.jpg,1476
1089192905,145.12,135.67,120.28,183.87,3.51,3.74,s7_stimuli_t4.jpg,1476
1089196905,145.66,136.99,122.22,180.0,3.51,3.74,s7_stimuli_t4.jpg,1476
1089200906,146.55,138.46,124.45,176.77,3.51,3.74,s7_stimuli_t4.jpg,1476
1089204906,144.9,138.19,122.61,180.09,3.51,3.74,s7_stimuli_t4.jpg,1476
1089208907,144.11,136.7,122.44,180.4,3.51,3.73,s7_stimuli_t4.jpg,1476
1089212907,146.41,136.72,117.39,181.93,3.51,3.73,s7_stimuli_t4.jpg,1476
1089216908,146.92,136.07,117.65,183.54,3.51,3.73,s7_stimuli_t4.jpg,1476
1089220909,146.33,137.19,115.17,182.44,3.52,3.72,s7_stimuli_t4.jpg,1476
1089224909,144.7,138.11,115.37,182.67,3.52,3.72,s7_stimuli_t4.jpg,1476
1089228910,146.01,138.96,113.78,183.36,3.52,3.72,s7_stimuli_t4.jpg,1476
1089232910,144.21,139.32,117.65,184.49,3.52,3.71,s7_stimuli_t4.jpg,1476
1089236911,145.19,139.43,116.52,182.69,3.52,3.72,s7_stimuli_t4.jpg,1476
1089240911,144.75,139.32,114.43,183.3,3.52,3.73,s7_stimuli_t4.jpg,1476
1089244912,142.99,139.77,114.62,181.7,3.52,3.72,s7_stimuli_t4.jpg,1476
1089248912,143.36,140.18,116.92,182.75,3.52,3.72,s7_stimuli_t4.jpg,1476
1089252913,143.39,140.9,115.55,181.27,3.52,3.72,s7_stimuli_t4.jpg,1476
1089256914,143.61,141.51,115.6,181.92,3.53,3.72,s7_stimuli_t4.jpg,1476
1089260914,142.69,144.65,115.51,183.99,3.54,3.72,s7_stimuli_t4.jpg,1476
1089264915,143.88,145.56,115.99,184.8,3.54,3.72,s7_stimuli_t4.jpg,1476
1089268915,143.97,146.75,117.62,190.41,3.54,3.72,s7_stimuli_t4.jpg,1476
1089272916,143.99,147.8,118.65,194.49,3.53,3.72,s7_stimuli_t4.jpg,1476
1089276916,147.08,147.84,117.51,193.69,3.53,3.73,s7_stimuli_t4.jpg,1476
1089280917,147.25,150.58,117.14,195.06,3.53,3.73,s7_stimuli_t4.jpg,1476
1089284918,149.98,151.54,117.58,194.97,3.52,3.74,s7_stimuli_t4.jpg,1476
1089288918,151.61,153.09,118.39,194.85,3.52,3.74,s7_stimuli_t4.jpg,1476
1089292919,151.68,153.19,117.96,194.44,3.53,3.75,s7_stimuli_t4.jpg,1476
1089296919,149.77,155.33,118.82,196.78,3.53,3.74,s7_stimuli_t4.jpg,1476
1089300920,152.08,155.04,121.88,196.89,3.54,3.74,s7_stimuli_t4.jpg,1476
1089304920,151.93,153.7,121.76,198.49,3.54,3.74,s7_stimuli_t4.jpg,1476
1089308921,153.16,153.62,126.84,200.26,3.55,3.74,s7_stimuli_t4.jpg,1476
1089312921,178.21,156.89,194.69,203.09,3.55,3.74,s7_stimuli_t4.jpg,1476
1089316918,265.56,163.07,276.45,205.98,3.56,3.74,s7_stimuli_t4.jpg,1476
1089320915,342.45,177.05,352.09,212.11,3.56,3.74,s7_stimuli_t4.jpg,1476
1089324912,366.83,189.02,382.64,217.26,3.57,3.75,s7_stimuli_t4.jpg,1476
1089328909,392.14,200.81,420.46,218.7,3.57,3.75,s7_stimuli_t4.jpg,1476
1089332903,442.75,206.62,426.62,225.06,3.57,3.75,s7_stimuli_t4.jpg,1476
1089336897,454.77,218.94,443.42,232.77,3.58,3.75,s7_stimuli_t4.jpg,1476
1089340891,458.9,222.65,455.62,234.95,3.59,3.75,s7_stimuli_t4.jpg,1476
1089344886,461.79,227.08,451.97,236.01,3.6,3.75,s7_stimuli_t4.jpg,1476
1089348880,462.77,227.66,451.14,237.88,3.61,3.75,s7_stimuli_t4.jpg,1476
1089352874,463.33,222.33,451.33,238.78,3.61,3.75,s7_stimuli_t4.jpg,1476
1089356868,467.67,229.2,452.86,241.21,3.62,3.75,s7_stimuli_t4.jpg,1476
1089360863,469.72,225.89,454.24,240.51,3.62,3.76,s7_stimuli_t4.jpg,1476
1089364857,473.91,228.38,453.74,240.24,3.62,3.76,s7_stimuli_t4.jpg,1476
1089368851,472.93,230.42,457.38,238.8,3.62,3.77,s7_stimuli_t4.jpg,1476
1089372845,475.54,228.83,458.0,240.28,3.63,3.77,s7_stimuli_t4.jpg,1476
1089376839,477.76,227.59,460.87,240.72,3.64,3.78,s7_stimuli_t4.jpg,1476
1089380834,478.48,223.02,459.8,238.72,3.65,3.78,s7_stimuli_t4.jpg,1476
1089384828,478.98,220.44,460.94,239.46,3.66,3.77,s7_stimuli_t4.jpg,1476
1089388822,479.23,217.06,460.81,238.15,3.67,3.76,s7_stimuli_t4.jpg,1476
1089392816,478.85,212.59,461.09,239.78,3.68,3.76,s7_stimuli_t4.jpg,1476
1089396811,476.54,209.18,461.46,239.76,3.69,3.75,s7_stimuli_t4.jpg,1476
